node	icd10_chapter	icd10_range
A00	Chapter 01	Range 001
A01	Chapter 01	Range 001
A02	Chapter 01	Range 001
A03	Chapter 01	Range 001
A04	Chapter 01	Range 001
A05	Chapter 01	Range 001
A06	Chapter 01	Range 001
A07	Chapter 01	Range 001
A08	Chapter 01	Range 001
A09	Chapter 01	Range 001
A15	Chapter 01	Range 002
A16	Chapter 01	Range 002
A17	Chapter 01	Range 002
A18	Chapter 01	Range 002
A19	Chapter 01	Range 002
A20	Chapter 01	Range 003
A21	Chapter 01	Range 003
A22	Chapter 01	Range 003
A23	Chapter 01	Range 003
A24	Chapter 01	Range 003
A25	Chapter 01	Range 003
A26	Chapter 01	Range 003
A27	Chapter 01	Range 003
A28	Chapter 01	Range 003
A30	Chapter 01	Range 004
A31	Chapter 01	Range 004
A32	Chapter 01	Range 004
A33	Chapter 01	Range 004
A34	Chapter 01	Range 004
A35	Chapter 01	Range 004
A36	Chapter 01	Range 004
A37	Chapter 01	Range 004
A38	Chapter 01	Range 004
A39	Chapter 01	Range 004
A40	Chapter 01	Range 004
A41	Chapter 01	Range 004
A42	Chapter 01	Range 004
A43	Chapter 01	Range 004
A44	Chapter 01	Range 004
A46	Chapter 01	Range 004
A48	Chapter 01	Range 004
A49	Chapter 01	Range 004
A50	Chapter 01	Range 005
A51	Chapter 01	Range 005
A52	Chapter 01	Range 005
A53	Chapter 01	Range 005
A54	Chapter 01	Range 005
A55	Chapter 01	Range 005
A56	Chapter 01	Range 005
A57	Chapter 01	Range 005
A58	Chapter 01	Range 005
A59	Chapter 01	Range 005
A60	Chapter 01	Range 005
A63	Chapter 01	Range 005
A64	Chapter 01	Range 005
A65	Chapter 01	Range 006
A66	Chapter 01	Range 006
A67	Chapter 01	Range 006
A68	Chapter 01	Range 006
A69	Chapter 01	Range 006
A70	Chapter 01	Range 007
A71	Chapter 01	Range 007
A74	Chapter 01	Range 007
A75	Chapter 01	Range 008
A77	Chapter 01	Range 008
A78	Chapter 01	Range 008
A79	Chapter 01	Range 008
A80	Chapter 01	Range 009
A81	Chapter 01	Range 009
A82	Chapter 01	Range 009
A83	Chapter 01	Range 009
A84	Chapter 01	Range 009
A85	Chapter 01	Range 009
A86	Chapter 01	Range 009
A87	Chapter 01	Range 009
A88	Chapter 01	Range 009
A89	Chapter 01	Range 009
A92	Chapter 01	Range 010
A93	Chapter 01	Range 010
A94	Chapter 01	Range 010
A95	Chapter 01	Range 010
A96	Chapter 01	Range 010
A97	Chapter 01	Range 010
A98	Chapter 01	Range 010
A99	Chapter 01	Range 010
B00	Chapter 01	Range 011
B01	Chapter 01	Range 011
B02	Chapter 01	Range 011
B03	Chapter 01	Range 011
B04	Chapter 01	Range 011
B05	Chapter 01	Range 011
B06	Chapter 01	Range 011
B07	Chapter 01	Range 011
B08	Chapter 01	Range 011
B09	Chapter 01	Range 011
B15	Chapter 01	Range 012
B16	Chapter 01	Range 012
B17	Chapter 01	Range 012
B18	Chapter 01	Range 012
B19	Chapter 01	Range 012
B20	Chapter 01	Range 013
B21	Chapter 01	Range 013
B22	Chapter 01	Range 013
B23	Chapter 01	Range 013
B24	Chapter 01	Range 013
B25	Chapter 01	Range 014
B26	Chapter 01	Range 014
B27	Chapter 01	Range 014
B30	Chapter 01	Range 014
B33	Chapter 01	Range 014
B34	Chapter 01	Range 014
B35	Chapter 01	Range 015
B36	Chapter 01	Range 015
B37	Chapter 01	Range 015
B38	Chapter 01	Range 015
B39	Chapter 01	Range 015
B40	Chapter 01	Range 015
B41	Chapter 01	Range 015
B42	Chapter 01	Range 015
B43	Chapter 01	Range 015
B44	Chapter 01	Range 015
B45	Chapter 01	Range 015
B46	Chapter 01	Range 015
B47	Chapter 01	Range 015
B48	Chapter 01	Range 015
B49	Chapter 01	Range 015
B50	Chapter 01	Range 016
B51	Chapter 01	Range 016
B52	Chapter 01	Range 016
B53	Chapter 01	Range 016
B54	Chapter 01	Range 016
B55	Chapter 01	Range 016
B56	Chapter 01	Range 016
B57	Chapter 01	Range 016
B58	Chapter 01	Range 016
B60	Chapter 01	Range 016
B64	Chapter 01	Range 016
B65	Chapter 01	Range 017
B66	Chapter 01	Range 017
B67	Chapter 01	Range 017
B68	Chapter 01	Range 017
B69	Chapter 01	Range 017
B70	Chapter 01	Range 017
B71	Chapter 01	Range 017
B72	Chapter 01	Range 017
B73	Chapter 01	Range 017
B74	Chapter 01	Range 017
B75	Chapter 01	Range 017
B76	Chapter 01	Range 017
B77	Chapter 01	Range 017
B78	Chapter 01	Range 017
B79	Chapter 01	Range 017
B80	Chapter 01	Range 017
B81	Chapter 01	Range 017
B82	Chapter 01	Range 017
B83	Chapter 01	Range 017
B85	Chapter 01	Range 018
B86	Chapter 01	Range 018
B87	Chapter 01	Range 018
B88	Chapter 01	Range 018
B89	Chapter 01	Range 018
B90	Chapter 01	Range 019
B91	Chapter 01	Range 019
B92	Chapter 01	Range 019
B94	Chapter 01	Range 019
B95	Chapter 01	Range 020
B96	Chapter 01	Range 020
B97	Chapter 01	Range 020
B98	Chapter 01	Range 020
B99	Chapter 01	Range 021
C00	Chapter 02	Range 022
C01	Chapter 02	Range 022
C02	Chapter 02	Range 022
C03	Chapter 02	Range 022
C04	Chapter 02	Range 022
C05	Chapter 02	Range 022
C06	Chapter 02	Range 022
C07	Chapter 02	Range 022
C08	Chapter 02	Range 022
C09	Chapter 02	Range 022
C10	Chapter 02	Range 022
C11	Chapter 02	Range 022
C12	Chapter 02	Range 022
C13	Chapter 02	Range 022
C14	Chapter 02	Range 022
C15	Chapter 02	Range 023
C16	Chapter 02	Range 023
C17	Chapter 02	Range 023
C18	Chapter 02	Range 023
C19	Chapter 02	Range 023
C20	Chapter 02	Range 023
C21	Chapter 02	Range 023
C22	Chapter 02	Range 023
C23	Chapter 02	Range 023
C24	Chapter 02	Range 023
C25	Chapter 02	Range 023
C26	Chapter 02	Range 023
C30	Chapter 02	Range 023
C31	Chapter 02	Range 023
C32	Chapter 02	Range 023
C33	Chapter 02	Range 023
C34	Chapter 02	Range 023
C37	Chapter 02	Range 023
C38	Chapter 02	Range 023
C39	Chapter 02	Range 023
C40	Chapter 02	Range 023
C41	Chapter 02	Range 023
C43	Chapter 02	Range 023
C44	Chapter 02	Range 023
C45	Chapter 02	Range 023
C46	Chapter 02	Range 023
C47	Chapter 02	Range 023
C48	Chapter 02	Range 023
C49	Chapter 02	Range 023
C50	Chapter 02	Range 023
C51	Chapter 02	Range 023
C52	Chapter 02	Range 023
C53	Chapter 02	Range 023
C54	Chapter 02	Range 023
C55	Chapter 02	Range 023
C56	Chapter 02	Range 023
C57	Chapter 02	Range 023
C58	Chapter 02	Range 023
C60	Chapter 02	Range 023
C61	Chapter 02	Range 023
C62	Chapter 02	Range 023
C63	Chapter 02	Range 023
C64	Chapter 02	Range 023
C65	Chapter 02	Range 023
C66	Chapter 02	Range 023
C67	Chapter 02	Range 023
C68	Chapter 02	Range 023
C69	Chapter 02	Range 023
C70	Chapter 02	Range 023
C71	Chapter 02	Range 023
C72	Chapter 02	Range 023
C73	Chapter 02	Range 023
C74	Chapter 02	Range 023
C75	Chapter 02	Range 023
C76	Chapter 02	Range 024
C77	Chapter 02	Range 024
C78	Chapter 02	Range 024
C79	Chapter 02	Range 024
C80	Chapter 02	Range 024
C81	Chapter 02	Range 024
C82	Chapter 02	Range 024
C83	Chapter 02	Range 024
C84	Chapter 02	Range 024
C85	Chapter 02	Range 024
C86	Chapter 02	Range 024
C88	Chapter 02	Range 024
C90	Chapter 02	Range 024
C91	Chapter 02	Range 024
