node,distance_type,p_value,adjusted_p_value
C25,normalized_ranks,0.000999000999000999,0.4725389278217086
C25,topology_only,0.000999000999000999,0.4725389278217086
C25,normalized_scores,0.000999000999000999,0.4725389278217086
B68,normalized_ranks,0.5014985014985015,1.0
B68,topology_only,0.23876123876123875,1.0
B68,normalized_scores,1.0,1.0
G51,normalized_ranks,0.007992007992007992,0.9664326281340484
G51,topology_only,0.07892107892107893,0.999999999999975
G51,normalized_scores,0.906093906093906,1.0
J17,normalized_ranks,0.1848151848151848,1.0
J17,topology_only,0.16883116883116883,1.0
J17,normalized_scores,0.04495504495504495,0.999999983046321
G30,normalized_ranks,0.000999000999000999,0.4725389278217086
G30,topology_only,0.013986013986013986,0.998569031863151
G30,normalized_scores,0.060939060939060936,0.9999999999160534
G11,normalized_ranks,0.000999000999000999,0.4725389278217086
G11,topology_only,0.005994005994005994,0.9505118028035112
G11,normalized_scores,0.6713286713286714,1.0
H20,normalized_ranks,0.09090909090909091,0.9999999999997843
H20,topology_only,0.056943056943056944,0.9999999999540385
H20,normalized_scores,0.012987012987012988,0.9969448669456775
D89,normalized_ranks,0.014985014985014986,0.9974300729391531
D89,topology_only,0.001998001998001998,0.6664626300230878
D89,normalized_scores,0.001998001998001998,0.6472516434881761
B52,normalized_ranks,0.12987012987012986,1.0
B52,topology_only,0.8261738261738262,1.0
B52,normalized_scores,0.23076923076923078,1.0
C48,normalized_ranks,0.026973026973026972,0.9999561640180391
C48,topology_only,0.023976023976023976,0.9999775055990671
C48,normalized_scores,0.005994005994005994,0.9435136436695596
G71,normalized_ranks,0.028971028971028972,0.999978135053545
G71,topology_only,0.12687312687312688,1.0
G71,normalized_scores,0.6103896103896104,1.0
Q35,normalized_ranks,0.9340659340659341,1.0
Q35,topology_only,0.974025974025974,1.0
Q35,normalized_scores,0.7302697302697303,1.0
G61,normalized_ranks,0.000999000999000999,0.4725389278217086
G61,topology_only,0.000999000999000999,0.4725389278217086
G61,normalized_scores,0.056943056943056944,0.9999999997331565
B40,normalized_ranks,0.6633366633366633,1.0
B40,topology_only,0.9240759240759241,1.0
B40,normalized_scores,0.994005994005994,1.0
J85,normalized_ranks,0.974025974025974,1.0
J85,topology_only,0.6563436563436563,1.0
J85,normalized_scores,0.6733266733266733,1.0
