node,distance_type,p_value,adjusted_p_value
mondo.0016532,topology_only,0.9370629370629371,1.0
mondo.0016532,normalized_ranks,0.2057942057942058,1.0
mondo.0016532,normalized_scores,0.7582417582417582,1.0
mondo.0006639,topology_only,0.964035964035964,1.0
mondo.0006639,normalized_ranks,0.6923076923076923,1.0
mondo.0006639,normalized_scores,0.9180819180819181,1.0
mondo.0018824,topology_only,0.23976023976023977,1.0
mondo.0018824,normalized_ranks,0.8231768231768232,1.0
mondo.0018824,normalized_scores,0.22277722277722278,1.0
mondo.0015796,topology_only,0.008991008991008992,0.9594915048782781
mondo.0015796,normalized_ranks,0.001998001998001998,0.4544714850375511
mondo.0015796,normalized_scores,0.000999000999000999,0.32281117450649854
mondo.0009861,topology_only,1.0,1.0
mondo.0009861,normalized_ranks,0.33266733266733267,1.0
mondo.0009861,normalized_scores,0.08191808191808192,0.999999997553796
mondo.0007774,topology_only,0.8391608391608392,1.0
mondo.0007774,normalized_ranks,0.33466533466533466,1.0
mondo.0007774,normalized_scores,0.5604395604395604,1.0
mondo.0008218,topology_only,0.001998001998001998,0.5304592792815559
mondo.0008218,normalized_ranks,0.01998001998001998,0.9927335398571313
mondo.0008218,normalized_scores,0.000999000999000999,0.32281117450649854
mondo.0018546,topology_only,0.16083916083916083,1.0
mondo.0018546,normalized_ranks,0.15784215784215785,0.9999999999999812
mondo.0018546,normalized_scores,0.058941058941058944,0.9999998010822081
mondo.0015908,topology_only,0.03396603396603397,0.9999884522205001
mondo.0015908,normalized_ranks,0.000999000999000999,0.32281117450649854
mondo.0015908,normalized_scores,0.011988011988011988,0.9747375593658629
mondo.0019004,topology_only,0.4595404595404595,1.0
mondo.0019004,normalized_ranks,1.0,1.0
mondo.0019004,normalized_scores,0.4985014985014985,1.0
mondo.0019454,topology_only,0.007992007992007992,0.9429945927383315
mondo.0019454,normalized_ranks,0.007992007992007992,0.8826317413157143
mondo.0019454,normalized_scores,0.005994005994005994,0.8539568992350254
mondo.0016013,topology_only,0.994005994005994,1.0
mondo.0016013,normalized_ranks,0.988011988011988,1.0
mondo.0016013,normalized_scores,0.9760239760239761,1.0
mondo.0007070,topology_only,1.0,1.0
mondo.0007070,normalized_ranks,1.0,1.0
mondo.0007070,normalized_scores,0.989010989010989,1.0
mondo.0015564,topology_only,0.31368631368631367,1.0
mondo.0015564,normalized_ranks,0.985014985014985,1.0
mondo.0015564,normalized_scores,0.3676323676323676,1.0
mondo.0016595,topology_only,0.001998001998001998,0.5304592792815559
mondo.0016595,normalized_ranks,0.0899100899100899,0.9999999927926502
mondo.0016595,normalized_scores,0.002997002997002997,0.6330398438810514
mondo.0005761,topology_only,1.0,1.0
mondo.0005761,normalized_ranks,0.053946053946053944,0.9999907439984534
mondo.0005761,normalized_scores,0.4745254745254745,1.0
mondo.0009172,topology_only,1.0,1.0
mondo.0009172,normalized_ranks,0.5504495504495505,1.0
mondo.0009172,normalized_scores,0.25874125874125875,1.0
mondo.0007576,topology_only,1.0,1.0
mondo.0007576,normalized_ranks,1.0,1.0
mondo.0007576,normalized_scores,1.0,1.0
mondo.0005619,topology_only,0.1968031968031968,1.0
mondo.0005619,normalized_ranks,1.0,1.0
mondo.0005619,normalized_scores,0.7692307692307693,1.0
mondo.0018081,topology_only,0.4255744255744256,1.0
mondo.0018081,normalized_ranks,0.99000999000999,1.0
mondo.0018081,normalized_scores,0.926073926073926,1.0
mondo.0019082,topology_only,0.000999000999000999,0.32281117450649854
mondo.0019082,normalized_ranks,0.001998001998001998,0.4544714850375511
mondo.0019082,normalized_scores,0.000999000999000999,0.32281117450649854
mondo.0009891,topology_only,0.7692307692307693,1.0
mondo.0009891,normalized_ranks,0.971028971028971,1.0
mondo.0009891,normalized_scores,0.7242757242757243,1.0
mondo.0002629,topology_only,0.013986013986013986,0.9925645002008301
mondo.0002629,normalized_ranks,0.003996003996003996,0.6792645555851125
mondo.0002629,normalized_scores,0.008991008991008992,0.9391788889711401
mondo.0019633,topology_only,0.07692307692307693,0.9999999999596234
mondo.0019633,normalized_ranks,1.0,1.0
mondo.0019633,normalized_scores,0.2887112887112887,1.0
mondo.0005820,topology_only,0.3256743256743257,1.0
mondo.0005820,normalized_ranks,1.0,1.0
mondo.0005820,normalized_scores,0.988011988011988,1.0
mondo.0012521,topology_only,1.0,1.0
mondo.0012521,normalized_ranks,1.0,1.0
mondo.0012521,normalized_scores,0.936063936063936,1.0
mondo.0005029,topology_only,0.5084915084915085,1.0
mondo.0005029,normalized_ranks,0.029970029970029972,0.9990585442632102
mondo.0005029,normalized_scores,0.30569430569430567,1.0
mondo.0004691,topology_only,0.7842157842157842,1.0
mondo.0004691,normalized_ranks,0.03296703296703297,0.999504355237648
mondo.0004691,normalized_scores,0.5034965034965035,1.0
mondo.0019121,topology_only,0.000999000999000999,0.32281117450649854
mondo.0019121,normalized_ranks,0.000999000999000999,0.32281117450649854
mondo.0019121,normalized_scores,0.000999000999000999,0.32281117450649854
mondo.0011847,topology_only,0.995004995004995,1.0
mondo.0011847,normalized_ranks,0.9820179820179821,1.0
mondo.0011847,normalized_scores,0.9760239760239761,1.0
mondo.0001956,topology_only,0.4935064935064935,1.0
mondo.0001956,normalized_ranks,0.985014985014985,1.0
mondo.0001956,normalized_scores,0.5244755244755245,1.0
mondo.0008491,topology_only,0.2677322677322677,1.0
mondo.0008491,normalized_ranks,0.007992007992007992,0.8826317413157143
mondo.0008491,normalized_scores,0.000999000999000999,0.32281117450649854
mondo.0008179,topology_only,0.03596403596403597,0.9999939384824971
mondo.0008179,normalized_ranks,0.000999000999000999,0.32281117450649854
mondo.0008179,normalized_scores,0.027972027972027972,0.999674095866078
mondo.0005683,topology_only,0.04995004995004995,0.9999999022473748
mondo.0005683,normalized_ranks,0.4995004995004995,1.0
mondo.0005683,normalized_scores,0.07892107892107893,0.9999999955796017
mondo.0008559,topology_only,1.0,1.0
mondo.0008559,normalized_ranks,0.5514485514485514,1.0
mondo.0008559,normalized_scores,0.3256743256743257,1.0
mondo.0019960,topology_only,0.9230769230769231,1.0
mondo.0019960,normalized_ranks,0.000999000999000999,0.32281117450649854
mondo.0019960,normalized_scores,0.5464535464535465,1.0
mondo.0005260,topology_only,0.052947052947052944,0.9999999550846471
