node,distance_type,p_value,adjusted_p_value
K44,topology_only,0.975024975024975,1.0
K44,normalized_ranks,0.000999000999000999,0.37920952844186373
K44,normalized_scores,0.7802197802197802,1.0
E85,topology_only,0.6533466533466533,1.0
E85,normalized_ranks,0.9040959040959041,1.0
E85,normalized_scores,0.1918081918081918,1.0
Q92,topology_only,0.1918081918081918,1.0
Q92,normalized_ranks,0.000999000999000999,0.37920952844186373
Q92,normalized_scores,0.10589410589410589,0.9999999999998164
P59,topology_only,0.061938061938061936,0.9999999999433201
P59,normalized_ranks,0.000999000999000999,0.37920952844186373
P59,normalized_scores,0.016983016983016984,0.9973324458177186
O14,topology_only,0.35764235764235763,1.0
O14,normalized_ranks,0.949050949050949,1.0
O14,normalized_scores,0.0919080919080919,0.9999999999945435
E28,topology_only,0.03696303696303696,0.9999996540862804
E28,normalized_ranks,0.000999000999000999,0.37920952844186373
E28,normalized_scores,0.002997002997002997,0.7113736239042302
G20,topology_only,0.17082917082917082,1.0
G20,normalized_ranks,0.001998001998001998,0.510318567958536
G20,normalized_scores,0.12187812187812187,0.999999999999996
L56,topology_only,0.938061938061938,1.0
L56,normalized_ranks,0.06893106893106893,0.9999997527531153
L56,normalized_scores,0.6433566433566433,1.0
C61,topology_only,0.2037962037962038,1.0
C61,normalized_ranks,0.000999000999000999,0.37920952844186373
C61,normalized_scores,0.000999000999000999,0.37920952844186373
C41,topology_only,0.22877122877122877,1.0
C41,normalized_ranks,0.014985014985014986,0.9832887493890977
C41,normalized_scores,0.07892107892107893,0.9999999998906498
B55,topology_only,0.060939060939060936,0.999999999921169
B55,normalized_ranks,0.026973026973026972,0.9990627741752895
B55,normalized_scores,0.013986013986013986,0.9930701227463545
G14,topology_only,0.9590409590409591,1.0
G14,normalized_ranks,0.913086913086913,1.0
G14,normalized_scores,1.0,1.0
M02,topology_only,0.18681318681318682,1.0
M02,normalized_ranks,0.09290709290709291,0.9999999966087937
M02,normalized_scores,0.07992007992007992,0.9999999998906498
E61,topology_only,0.922077922077922,1.0
E61,normalized_ranks,0.000999000999000999,0.37920952844186373
E61,normalized_scores,0.6883116883116883,1.0
N04,topology_only,0.4595404595404595,1.0
N04,normalized_ranks,0.8171828171828172,1.0
N04,normalized_scores,0.3956043956043956,1.0
F63,topology_only,0.2177822177822178,1.0
F63,normalized_ranks,0.000999000999000999,0.37920952844186373
F63,normalized_scores,0.061938061938061936,0.9999999939670687
B45,topology_only,0.11788211788211789,1.0
B45,normalized_ranks,0.948051948051948,1.0
B45,normalized_scores,0.35364635364635366,1.0
L51,topology_only,0.14985014985014986,1.0
L51,normalized_ranks,0.22577422577422576,1.0
L51,normalized_scores,0.3096903096903097,1.0
K50,topology_only,0.11988011988011989,1.0
K50,normalized_ranks,0.14485514485514486,0.999999999999415
K50,normalized_scores,0.1888111888111888,1.0
B37,topology_only,0.2987012987012987,1.0
B37,normalized_ranks,0.3196803196803197,1.0
B37,normalized_scores,0.16683316683316685,1.0
L88,topology_only,0.057942057942057944,0.9999999997725568
L88,normalized_ranks,0.006993006993006993,0.8764657276217069
L88,normalized_scores,0.01998001998001998,0.9989318278851499
F10,topology_only,0.33666333666333664,1.0
F10,normalized_ranks,0.03796203796203796,0.9999075024318538
F10,normalized_scores,0.022977022977022976,0.9995849500190391
J84,topology_only,0.21078921078921078,1.0
J84,normalized_ranks,0.14285714285714285,0.9999999999992368
J84,normalized_scores,0.06393606393606394,0.9999999958196762
D43,topology_only,0.9820179820179821,1.0
D43,normalized_ranks,0.8631368631368631,1.0
D43,normalized_scores,0.9400599400599401,1.0
J63,topology_only,0.001998001998001998,0.6014810811280543
J63,normalized_ranks,0.000999000999000999,0.37920952844186373
J63,normalized_scores,0.001998001998001998,0.5776835174323569
L40,topology_only,0.014985014985014986,0.9983906564685245
L40,normalized_ranks,0.000999000999000999,0.37920952844186373
L40,normalized_scores,0.000999000999000999,0.37920952844186373
Q23,topology_only,0.34865134865134867,1.0
Q23,normalized_ranks,0.6043956043956044,1.0
Q23,normalized_scores,0.22677322677322678,1.0
B72,topology_only,0.971028971028971,1.0
B72,normalized_ranks,0.48951048951048953,1.0
B72,normalized_scores,0.975024975024975,1.0
Q96,topology_only,0.8111888111888111,1.0
Q96,normalized_ranks,0.000999000999000999,0.37920952844186373
Q96,normalized_scores,0.000999000999000999,0.37920952844186373
F25,topology_only,0.000999000999000999,0.37920952844186373
F25,normalized_ranks,0.000999000999000999,0.37920952844186373
F25,normalized_scores,0.000999000999000999,0.37920952844186373
Q61,topology_only,0.12687312687312688,1.0
Q61,normalized_ranks,0.013986013986013986,0.978915534198847
Q61,normalized_scores,0.07492507492507493,0.9999999997320429
H80,topology_only,0.5344655344655345,1.0
H80,normalized_ranks,0.000999000999000999,0.37920952844186373
H80,normalized_scores,0.01098901098901099,0.9822822835054201
F02,topology_only,0.44655344655344653,1.0
F02,normalized_ranks,0.04995004995004995,0.9999915629971377
F02,normalized_scores,0.2177822177822178,1.0
M86,topology_only,0.17082917082917082,1.0
M86,normalized_ranks,0.33266733266733267,1.0
M86,normalized_scores,0.0979020979020979,0.9999999999988709
D38,topology_only,0.04095904095904096,0.9999999208724308
D38,normalized_ranks,0.46853146853146854,1.0
D38,normalized_scores,0.04895104895104895,0.9999998336231677
G62,topology_only,0.002997002997002997,0.7417114361895535
G62,normalized_ranks,0.000999000999000999,0.37920952844186373
G62,normalized_scores,0.26573426573426573,1.0
N44,topology_only,1.0,1.0
N44,normalized_ranks,0.7782217782217782,1.0
N44,normalized_scores,0.4975024975024975,1.0
H30,topology_only,0.07492507492507493,0.9999999999995121
H30,normalized_ranks,0.01998001998001998,0.9951468748172078
H30,normalized_scores,0.04895104895104895,0.9999998336231677
D12,topology_only,0.999000999000999,1.0
D12,normalized_ranks,0.9470529470529471,1.0
D12,normalized_scores,0.978021978021978,1.0
E83,topology_only,0.19480519480519481,1.0
E83,normalized_ranks,0.001998001998001998,0.510318567958536
E83,normalized_scores,0.001998001998001998,0.5776835174323569
E72,topology_only,0.18181818181818182,1.0
E72,normalized_ranks,0.000999000999000999,0.37920952844186373
E72,normalized_scores,0.16183816183816183,1.0
B81,topology_only,0.7722277722277723,1.0
B81,normalized_ranks,1.0,1.0
B81,normalized_scores,0.951048951048951,1.0
N25,topology_only,0.011988011988011988,0.9944726841192767
N25,normalized_ranks,0.01898101898101898,0.9938878902790979
N25,normalized_scores,0.000999000999000999,0.37920952844186373
E67,topology_only,0.4675324675324675,1.0
E67,normalized_ranks,0.03696303696303696,0.9998899486297083
E67,normalized_scores,0.3066933066933067,1.0
D59,topology_only,0.5604395604395604,1.0
D59,normalized_ranks,0.6363636363636364,1.0
D59,normalized_scores,0.5324675324675324,1.0
M94,topology_only,0.6553446553446554,1.0
M94,normalized_ranks,0.0939060939060939,0.9999999969975989
M94,normalized_scores,0.35764235764235763,1.0
T57,topology_only,0.003996003996003996,0.8336724413963678
T57,normalized_ranks,0.000999000999000999,0.37920952844186373
T57,normalized_scores,0.000999000999000999,0.37920952844186373
G12,topology_only,0.46853146853146854,1.0
G12,normalized_ranks,0.002997002997002997,0.6330398438810514
G12,normalized_scores,0.9630369630369631,1.0
I83,topology_only,0.11688311688311688,1.0
I83,normalized_ranks,0.000999000999000999,0.37920952844186373
I83,normalized_scores,0.000999000999000999,0.37920952844186373
Q53,topology_only,0.014985014985014986,0.9983906564685245
Q53,normalized_ranks,0.000999000999000999,0.37920952844186373
Q53,normalized_scores,0.000999000999000999,0.37920952844186373
A78,topology_only,0.6453546453546454,1.0
A78,normalized_ranks,0.997002997002997,1.0
A78,normalized_scores,0.7092907092907093,1.0
L73,topology_only,0.996003996003996,1.0
L73,normalized_ranks,0.008991008991008992,0.9244573741070348
L73,normalized_scores,0.948051948051948,1.0
D46,topology_only,0.2957042957042957,1.0
D46,normalized_ranks,0.005994005994005994,0.8382411727150273
D46,normalized_scores,0.01898101898101898,0.9986025002607789
M47,topology_only,0.8421578421578422,1.0
M47,normalized_ranks,0.002997002997002997,0.6330398438810514
M47,normalized_scores,0.42657342657342656,1.0
N98,topology_only,0.8971028971028971,1.0
N98,normalized_ranks,0.2097902097902098,1.0
N98,normalized_scores,0.6863136863136863,1.0
A85,topology_only,0.004995004995004995,0.8928316902290818
A85,normalized_ranks,0.000999000999000999,0.37920952844186373
A85,normalized_scores,0.000999000999000999,0.37920952844186373
C22,topology_only,0.14385614385614387,1.0
C22,normalized_ranks,0.053946053946053944,0.9999959713277102
C22,normalized_scores,0.007992007992007992,0.9518346584754921
N28,topology_only,0.15584415584415584,1.0
N28,normalized_ranks,0.002997002997002997,0.6330398438810514
N28,normalized_scores,0.005994005994005994,0.90179010180894
E26,topology_only,0.3276723276723277,1.0
E26,normalized_ranks,0.7602397602397603,1.0
