node,distance_type,p_value,adjusted_p_value
umls.C0016667,normalized_scores,0.2127872127872128,0.9999999873234042
umls.C0016667,normalized_ranks,0.17082917082917082,0.9999992087729663
umls.C0016667,topology_only,0.6223776223776224,1.0
umls.C0409818,normalized_scores,0.11488511488511488,0.9999866964579858
umls.C0409818,normalized_ranks,0.15784215784215785,0.9999987233075959
umls.C0409818,topology_only,0.28471528471528473,0.99999999999992
umls.C0206141,normalized_scores,0.7062937062937062,1.0
umls.C0206141,normalized_ranks,0.951048951048951,1.0
umls.C0206141,topology_only,1.0,1.0
umls.C3489393,normalized_scores,0.954045954045954,1.0
umls.C3489393,normalized_ranks,0.9250749250749251,1.0
umls.C3489393,topology_only,1.0,1.0
umls.C0002892,normalized_scores,0.16983016983016982,0.9999997646633337
umls.C0002892,normalized_ranks,0.34065934065934067,0.9999999999982536
umls.C0002892,topology_only,1.0,1.0
umls.C0027145,normalized_scores,0.44455544455544455,0.9999999999999984
umls.C0027145,normalized_ranks,0.5804195804195804,1.0
umls.C0027145,topology_only,0.5154845154845155,1.0
umls.C0040997,normalized_scores,0.8551448551448552,1.0
umls.C0040997,normalized_ranks,0.995004995004995,1.0
umls.C0040997,topology_only,1.0,1.0
umls.C0019069,normalized_scores,0.002997002997002997,0.3189995993323218
umls.C0019069,normalized_ranks,0.003996003996003996,0.39134103494118777
umls.C0019069,topology_only,0.007992007992007992,0.6504676288832354
umls.C0085132,normalized_scores,0.2177822177822178,0.9999999879032573
umls.C0085132,normalized_ranks,0.000999000999000999,0.12884124041404188
umls.C0085132,topology_only,1.0,1.0
umls.C0042345,normalized_scores,0.6283716283716284,1.0
umls.C0042345,normalized_ranks,0.6203796203796204,1.0
umls.C0042345,topology_only,1.0,1.0
umls.C0016719,normalized_scores,0.5124875124875125,1.0
umls.C0016719,normalized_ranks,0.32367632367632365,0.9999999999938312
umls.C0016719,topology_only,0.8441558441558441,1.0
umls.C0038994,normalized_scores,0.993006993006993,1.0
umls.C0038994,normalized_ranks,0.99000999000999,1.0
umls.C0038994,topology_only,1.0,1.0
umls.C0086651,normalized_scores,0.3146853146853147,0.9999999999780214
umls.C0086651,normalized_ranks,0.03196803196803197,0.9670072546501775
umls.C0086651,topology_only,1.0,1.0
umls.C0020179,normalized_scores,0.1048951048951049,0.9999700670427666
umls.C0020179,normalized_ranks,0.27472527472527475,0.9999999996732821
umls.C0020179,topology_only,0.2887112887112887,0.999999999999932
umls.C0020480,normalized_scores,0.027972027972027972,0.954607391115293
umls.C0020480,normalized_ranks,0.015984015984015984,0.8406891172480488
umls.C0020480,topology_only,0.04895104895104895,0.9971833304688098
umls.C0242287,normalized_scores,0.955044955044955,1.0
umls.C0242287,normalized_ranks,1.0,1.0
umls.C0242287,topology_only,1.0,1.0
umls.C1275126,normalized_scores,0.014985014985014986,0.8290724833142809
umls.C1275126,normalized_ranks,0.030969030969030968,0.9643719855803993
