node,distance_type,p_value,adjusted_p_value
C23,normalized_ranks,0.8471528471528471,1.0
C23,topology_only,0.5864135864135864,1.0
C23,normalized_scores,0.27372627372627373,1.0
C25,normalized_ranks,0.000999000999000999,0.48504111742576894
C25,topology_only,0.017982017982017984,0.999897094919075
C25,normalized_scores,0.000999000999000999,0.48504111742576894
E77,normalized_ranks,0.001998001998001998,0.6193977155863204
E77,topology_only,0.39760239760239763,1.0
E77,normalized_scores,0.07292707292707293,0.9999999999938929
G51,normalized_ranks,0.1968031968031968,1.0
G51,topology_only,0.059940059940059943,0.9999999999946871
G51,normalized_scores,0.935064935064935,1.0
C05,normalized_ranks,0.998001998001998,1.0
C05,topology_only,1.0,1.0
C05,normalized_scores,0.9920079920079921,1.0
G30,normalized_ranks,0.13386613386613386,1.0
G30,topology_only,0.06593406593406594,0.9999999999994551
G30,normalized_scores,0.2007992007992008,1.0
G11,normalized_ranks,0.000999000999000999,0.48504111742576894
G11,topology_only,0.08591408591408592,0.9999999999999996
G11,normalized_scores,0.011988011988011988,0.995442678045012
E29,normalized_ranks,0.000999000999000999,0.48504111742576894
E29,topology_only,0.01898101898101898,0.9999323321209894
E29,normalized_scores,0.001998001998001998,0.6576769363797567
K10,normalized_ranks,0.000999000999000999,0.48504111742576894
K10,topology_only,1.0,1.0
K10,normalized_scores,0.000999000999000999,0.48504111742576894
Q69,normalized_ranks,0.000999000999000999,0.48504111742576894
Q69,topology_only,0.3946053946053946,1.0
Q69,normalized_scores,0.000999000999000999,0.48504111742576894
H20,normalized_ranks,0.08591408591408592,0.9999999999946881
H20,topology_only,0.34265734265734266,1.0
H20,normalized_scores,0.11988011988011989,1.0
H57,normalized_ranks,0.001998001998001998,0.6193977155863204
H57,topology_only,0.33966033966033965,1.0
H57,normalized_scores,0.08791208791208792,0.9999999999999221
D89,normalized_ranks,0.03596403596403597,0.9999962347533587
D89,topology_only,0.053946053946053944,0.999999999955961
D89,normalized_scores,0.008991008991008992,0.9844485408071401
B52,normalized_ranks,0.2757242757242757,1.0
B52,topology_only,0.14685314685314685,1.0
B52,normalized_scores,0.03796203796203796,0.9999996989924823
M21,normalized_ranks,1.0,1.0
M21,topology_only,0.40559440559440557,1.0
M21,normalized_scores,0.6633366633366633,1.0
C48,normalized_ranks,0.03796203796203796,0.999997994793657
C48,topology_only,0.07492507492507493,0.9999999999999766
C48,normalized_scores,0.022977022977022976,0.99993536279288
G71,normalized_ranks,0.000999000999000999,0.48504111742576894
G71,topology_only,0.02097902097902098,0.9999723280913373
G71,normalized_scores,0.000999000999000999,0.48504111742576894
Q35,normalized_ranks,0.5654345654345654,1.0
Q35,topology_only,0.6483516483516484,1.0
Q35,normalized_scores,0.04695304695304695,0.9999999803584536
G61,normalized_ranks,0.000999000999000999,0.48504111742576894
G61,topology_only,0.000999000999000999,0.48504111742576894
G61,normalized_scores,0.3836163836163836,1.0
G32,normalized_ranks,0.2647352647352647,1.0
G32,topology_only,0.006993006993006993,0.9787765248089154
G32,normalized_scores,0.986013986013986,1.0
G63,normalized_ranks,0.17182817182817184,1.0
G63,topology_only,0.04795204795204795,0.9999999995722172
G63,normalized_scores,0.7912087912087912,1.0
D07,normalized_ranks,0.08191808191808192,0.999999999987778
D07,topology_only,0.2997002997002997,1.0
D07,normalized_scores,0.1068931068931069,0.9999999999999994
J11,normalized_ranks,0.000999000999000999,0.48504111742576894
J11,topology_only,1.0,1.0
J11,normalized_scores,0.000999000999000999,0.48504111742576894
H15,normalized_ranks,0.000999000999000999,0.48504111742576894
H15,topology_only,1.0,1.0
H15,normalized_scores,0.000999000999000999,0.48504111742576894
D57,normalized_ranks,0.7352647352647352,1.0
D57,topology_only,0.8691308691308691,1.0
D57,normalized_scores,0.4275724275724276,1.0
D32,normalized_ranks,0.37362637362637363,1.0
D32,topology_only,0.6353646353646354,1.0
D32,normalized_scores,0.3306693306693307,1.0
C65,normalized_ranks,0.04695304695304695,0.9999998519613239
C65,topology_only,0.25274725274725274,1.0
C65,normalized_scores,0.06793206793206794,0.9999999999731554
Q18,normalized_ranks,0.030969030969030968,0.9999849619042478
Q18,topology_only,0.6673326673326674,1.0
Q18,normalized_scores,0.27472527472527475,1.0
Q33,normalized_ranks,0.24075924075924077,1.0
Q33,topology_only,0.09490509490509491,1.0
Q33,normalized_scores,0.06793206793206794,0.9999999999731554
Q54,normalized_ranks,0.23576423576423577,1.0
Q54,topology_only,1.0,1.0
Q54,normalized_scores,0.3786213786213786,1.0
Q71,normalized_ranks,0.024975024975024976,0.9998970292945684
Q71,topology_only,0.012987012987012988,0.9988387591767246
Q71,normalized_scores,0.004995004995004995,0.9118440645913639
L53,normalized_ranks,0.000999000999000999,0.48504111742576894
L53,topology_only,0.8801198801198801,1.0
L53,normalized_scores,0.2907092907092907,1.0
C88,normalized_ranks,0.000999000999000999,0.48504111742576894
C88,topology_only,0.000999000999000999,0.48504111742576894
C88,normalized_scores,0.000999000999000999,0.48504111742576894
M34,normalized_ranks,0.000999000999000999,0.48504111742576894
M34,topology_only,0.060939060939060936,0.9999999999961452
M34,normalized_scores,0.013986013986013986,0.9978772255186822
I83,normalized_ranks,0.996003996003996,1.0
I83,topology_only,0.1028971028971029,1.0
I83,normalized_scores,0.36863136863136864,1.0
B54,normalized_ranks,0.015984015984015984,0.9981040035313515
B54,topology_only,0.028971028971028972,0.9999991876308694
B54,normalized_scores,0.008991008991008992,0.9844485408071401
C92,normalized_ranks,0.000999000999000999,0.48504111742576894
C92,topology_only,0.44155844155844154,1.0
C92,normalized_scores,0.03496503496503497,0.9999991872419478
D64,normalized_ranks,0.1918081918081918,1.0
D64,topology_only,0.3306693306693307,1.0
D64,normalized_scores,0.11188811188811189,0.9999999999999999
N16,normalized_ranks,0.001998001998001998,0.6193977155863204
N16,topology_only,0.03696303696303696,0.9999999711993087
N16,normalized_scores,0.024975024975024976,0.9999701815573699
