node,distance_type,p_value,adjusted_p_value
mondo.0010619,topology_only,1.0,1.0
mondo.0010619,normalized_ranks,0.7642357642357642,1.0
mondo.0010619,normalized_scores,0.978021978021978,1.0
mondo.0004843,topology_only,1.0,1.0
mondo.0004843,normalized_ranks,0.4915084915084915,1.0
mondo.0004843,normalized_scores,0.23676323676323677,1.0
mondo.0000104,topology_only,1.0,1.0
mondo.0000104,normalized_ranks,0.8151848151848152,1.0
mondo.0000104,normalized_scores,0.993006993006993,1.0
mondo.0008575,topology_only,0.060939060939060936,0.9999999999999992
mondo.0008575,normalized_ranks,0.017982017982017984,0.9999787759563958
mondo.0008575,normalized_scores,0.022977022977022976,0.9999984323577771
mondo.0013189,topology_only,1.0,1.0
mondo.0013189,normalized_ranks,0.5674325674325674,1.0
mondo.0013189,normalized_scores,0.9630369630369631,1.0
mondo.0044013,topology_only,0.000999000999000999,0.5344881633686805
mondo.0044013,normalized_ranks,0.000999000999000999,0.5344881633686805
mondo.0044013,normalized_scores,0.000999000999000999,0.5344881633686805
mondo.0005747,topology_only,1.0,1.0
mondo.0005747,normalized_ranks,0.7922077922077922,1.0
mondo.0005747,normalized_scores,1.0,1.0
mondo.0001881,topology_only,0.06493506493506493,0.9999999999999999
mondo.0001881,normalized_ranks,0.000999000999000999,0.5344881633686805
mondo.0001881,normalized_scores,0.011988011988011988,0.999322140727307
mondo.0015564,topology_only,0.3076923076923077,1.0
mondo.0015564,normalized_ranks,0.44155844155844154,1.0
mondo.0015564,normalized_scores,0.5034965034965035,1.0
mondo.0013361,topology_only,1.0,1.0
mondo.0013361,normalized_ranks,0.994005994005994,1.0
mondo.0013361,normalized_scores,1.0,1.0
mondo.0043458,topology_only,0.7182817182817183,1.0
mondo.0043458,normalized_ranks,0.7332667332667333,1.0
mondo.0043458,normalized_scores,0.7082917082917083,1.0
mondo.0005266,topology_only,0.2597402597402597,1.0
mondo.0005266,normalized_ranks,0.7742257742257742,1.0
mondo.0005266,normalized_scores,0.16983016983016982,1.0
mondo.0006827,topology_only,1.0,1.0
mondo.0006827,normalized_ranks,1.0,1.0
mondo.0006827,normalized_scores,1.0,1.0
mondo.0015760,topology_only,0.03196803196803197,0.9999999964687372
mondo.0015760,normalized_ranks,0.5104895104895105,1.0
mondo.0015760,normalized_scores,0.054945054945054944,0.9999999999998961
mondo.0005191,topology_only,0.000999000999000999,0.5344881633686805
mondo.0005191,normalized_ranks,0.000999000999000999,0.5344881633686805
mondo.0005191,normalized_scores,0.000999000999000999,0.5344881633686805
mondo.0010383,topology_only,0.14885114885114886,1.0
mondo.0010383,normalized_ranks,0.1938061938061938,1.0
mondo.0010383,normalized_scores,0.14285714285714285,1.0
