node,distance_type,p_value,adjusted_p_value
H18,normalized_scores,0.001998001998001998,0.45989958625633287
H18,topology_only,0.04595404595404595,0.9999996501378691
H18,normalized_ranks,0.017982017982017984,0.9919874429665579
F17,normalized_scores,0.000999000999000999,0.3981494794296321
F17,topology_only,0.000999000999000999,0.3981494794296321
F17,normalized_ranks,0.000999000999000999,0.3981494794296321
E87,normalized_scores,0.000999000999000999,0.3981494794296321
E87,topology_only,0.06393606393606394,0.9999999982291508
E87,normalized_ranks,0.001998001998001998,0.45773485730819075
G06,normalized_scores,0.000999000999000999,0.3981494794296321
G06,topology_only,0.003996003996003996,0.7910306434557391
G06,normalized_ranks,0.000999000999000999,0.3981494794296321
I06,normalized_scores,0.000999000999000999,0.3981494794296321
I06,topology_only,0.000999000999000999,0.3981494794296321
I06,normalized_ranks,0.000999000999000999,0.3981494794296321
G20,normalized_scores,0.000999000999000999,0.3981494794296321
G20,topology_only,0.058941058941058944,0.9999999920500322
G20,normalized_ranks,0.000999000999000999,0.3981494794296321
I73,normalized_scores,0.10989010989010989,0.9999999995563189
I73,topology_only,0.7112887112887113,1.0
I73,normalized_ranks,0.17482517482517482,1.0
L98,normalized_scores,0.16783216783216784,0.9999999999999606
L98,topology_only,0.5264735264735265,1.0
L98,normalized_ranks,0.33666333666333664,1.0
D73,normalized_scores,0.07492507492507493,0.9999997461966825
D73,topology_only,0.2017982017982018,1.0
D73,normalized_ranks,0.1928071928071928,1.0
E00,normalized_scores,0.906093906093906,1.0
E00,topology_only,1.0,1.0
E00,normalized_ranks,0.1848151848151848,1.0
K81,normalized_scores,0.7462537462537463,1.0
K81,topology_only,1.0,1.0
K81,normalized_ranks,0.5934065934065934,1.0
E22,normalized_scores,0.000999000999000999,0.3981494794296321
E22,topology_only,0.000999000999000999,0.3981494794296321
E22,normalized_ranks,0.000999000999000999,0.3981494794296321
N10,normalized_scores,0.014985014985014986,0.9777364179539839
N10,topology_only,0.05094905094905095,0.9999999220847974
N10,normalized_ranks,0.005994005994005994,0.8108728383857844
I49,normalized_scores,0.19880119880119881,0.9999999999999997
I49,topology_only,0.7342657342657343,1.0
I49,normalized_ranks,0.06493506493506493,0.9999998850943035
B19,normalized_scores,0.000999000999000999,0.3981494794296321
B19,topology_only,0.028971028971028972,0.999942311900398
B19,normalized_ranks,0.000999000999000999,0.3981494794296321
N26,normalized_scores,0.000999000999000999,0.3981494794296321
N26,topology_only,0.000999000999000999,0.3981494794296321
N26,normalized_ranks,0.001998001998001998,0.45773485730819075
H90,normalized_scores,0.000999000999000999,0.3981494794296321
H90,topology_only,0.016983016983016984,0.9974222826700582
H90,normalized_ranks,0.26073926073926074,1.0
I20,normalized_scores,0.000999000999000999,0.3981494794296321
I20,topology_only,0.000999000999000999,0.3981494794296321
I20,normalized_ranks,0.000999000999000999,0.3981494794296321
C41,normalized_scores,0.000999000999000999,0.3981494794296321
C41,topology_only,0.000999000999000999,0.3981494794296321
C41,normalized_ranks,0.000999000999000999,0.3981494794296321
K31,normalized_scores,0.000999000999000999,0.3981494794296321
K31,topology_only,0.000999000999000999,0.3981494794296321
K31,normalized_ranks,0.000999000999000999,0.3981494794296321
K75,normalized_scores,0.000999000999000999,0.3981494794296321
K75,topology_only,0.001998001998001998,0.5742914341992861
K75,normalized_ranks,0.000999000999000999,0.3981494794296321
