node,distance_type,p_value,adjusted_p_value
umls.C0016667,normalized_scores,0.014985014985014986,0.9999682468731126
umls.C0016667,normalized_ranks,0.011988011988011988,0.999794600804151
umls.C0016667,topology_only,0.008991008991008992,0.9989363058676689
umls.C2973725,normalized_scores,0.6923076923076923,1.0
umls.C2973725,normalized_ranks,0.4515484515484515,1.0
umls.C2973725,topology_only,0.9210789210789211,1.0
umls.C0020538,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0020538,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0020538,topology_only,0.000999000999000999,0.5842043196776443
umls.C0392525,normalized_scores,0.02197802197802198,0.9999996265975702
umls.C0392525,normalized_ranks,0.03496503496503497,0.9999999999527114
umls.C0392525,topology_only,0.024975024975024976,0.9999999784728444
umls.C0206138,normalized_scores,0.5824175824175825,1.0
umls.C0206138,normalized_ranks,0.8721278721278721,1.0
umls.C0206138,topology_only,0.4405594405594406,1.0
umls.C0007760,normalized_scores,0.8571428571428571,1.0
umls.C0007760,normalized_ranks,0.7942057942057942,1.0
umls.C0007760,topology_only,1.0,1.0
umls.C0016412,normalized_scores,0.03796203796203796,0.999999999977927
umls.C0016412,normalized_ranks,0.41058941058941056,1.0
umls.C0016412,topology_only,0.01898101898101898,0.9999988579872315
umls.C0035220,normalized_scores,0.08791208791208792,1.0
umls.C0035220,normalized_ranks,0.12187812187812187,1.0
umls.C0035220,topology_only,0.1798201798201798,1.0
umls.C0008370,normalized_scores,0.060939060939060936,1.0
umls.C0008370,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0008370,topology_only,0.2867132867132867,1.0
umls.C0004245,normalized_scores,0.5884115884115884,1.0
umls.C0004245,normalized_ranks,0.6713286713286714,1.0
umls.C0004245,topology_only,0.7882117882117882,1.0
umls.C0022568,normalized_scores,0.2017982017982018,1.0
umls.C0022568,normalized_ranks,0.8951048951048951,1.0
umls.C0022568,topology_only,0.12987012987012986,1.0
umls.C0031039,normalized_scores,0.994005994005994,1.0
umls.C0031039,normalized_ranks,1.0,1.0
umls.C0031039,topology_only,0.958041958041958,1.0
umls.C0016719,normalized_scores,0.06793206793206794,1.0
umls.C0016719,normalized_ranks,0.27972027972027974,1.0
umls.C0016719,topology_only,1.0,1.0
umls.C0037274,normalized_scores,0.004995004995004995,0.9749162736006507
umls.C0037274,normalized_ranks,0.002997002997002997,0.8895401535667165
umls.C0037274,topology_only,0.026973026973026972,0.9999999937728165
umls.C0020179,normalized_scores,0.004995004995004995,0.9749162736006507
umls.C0020179,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0020179,topology_only,0.02197802197802198,0.9999998498690175
umls.C0034067,normalized_scores,0.03496503496503497,0.9999999998807009
umls.C0034067,normalized_ranks,0.0919080919080919,1.0
umls.C0034067,topology_only,0.08591408591408592,1.0
umls.C0035021,normalized_scores,0.3676323676323676,1.0
umls.C0035021,normalized_ranks,0.8791208791208791,1.0
umls.C0035021,topology_only,0.32367632367632365,1.0
umls.C1275126,normalized_scores,0.999000999000999,1.0
umls.C1275126,normalized_ranks,0.9430569430569431,1.0
umls.C1275126,topology_only,1.0,1.0
umls.C0035235,normalized_scores,0.3776223776223776,1.0
umls.C0035235,normalized_ranks,0.7982017982017982,1.0
umls.C0035235,topology_only,0.26873126873126874,1.0
umls.C0035334,normalized_scores,0.17182817182817184,1.0
umls.C0035334,normalized_ranks,0.012987012987012988,0.9998965685269091
umls.C0035334,topology_only,0.18081918081918083,1.0
umls.C0948089,normalized_scores,0.006993006993006993,0.9936076435958415
umls.C0948089,normalized_ranks,0.002997002997002997,0.8895401535667165
umls.C0948089,topology_only,0.01998001998001998,0.9999994138143814
umls.C0206245,normalized_scores,0.984015984015984,1.0
umls.C0206245,normalized_ranks,0.27172827172827174,1.0
umls.C0206245,topology_only,1.0,1.0
umls.C0022354,normalized_scores,0.017982017982017984,0.9999952068365591
umls.C0022354,normalized_ranks,0.46153846153846156,1.0
umls.C0022354,topology_only,0.003996003996003996,0.9583803732701613
umls.C0023343,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0023343,normalized_ranks,0.052947052947052944,0.9999999999999994
umls.C0023343,topology_only,0.000999000999000999,0.5842043196776443
umls.C0029883,normalized_scores,1.0,1.0
umls.C0029883,normalized_ranks,0.9920079920079921,1.0
umls.C0029883,topology_only,1.0,1.0
umls.C0238190,normalized_scores,1.0,1.0
umls.C0238190,normalized_ranks,1.0,1.0
umls.C0238190,topology_only,1.0,1.0
umls.C0268579,normalized_scores,0.7302697302697303,1.0
umls.C0268579,normalized_ranks,0.6873126873126874,1.0
umls.C0268579,topology_only,1.0,1.0
umls.C0152136,normalized_scores,0.5364635364635365,1.0
umls.C0152136,normalized_ranks,0.31368631368631367,1.0
umls.C0152136,topology_only,0.6643356643356644,1.0
umls.C0007194,normalized_scores,0.004995004995004995,0.9749162736006507
umls.C0007194,normalized_ranks,0.001998001998001998,0.7790901332320234
umls.C0007194,topology_only,0.024975024975024976,0.9999999784728444
umls.C0003872,normalized_scores,0.12087912087912088,1.0
umls.C0003872,normalized_ranks,0.5394605394605395,1.0
umls.C0003872,topology_only,0.19480519480519481,1.0
umls.C0028754,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0028754,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0028754,topology_only,0.000999000999000999,0.5842043196776443
umls.C0037052,normalized_scores,0.11388611388611389,1.0
umls.C0037052,normalized_ranks,0.3866133866133866,1.0
umls.C0037052,topology_only,0.1018981018981019,1.0
umls.C0019156,normalized_scores,0.19480519480519481,1.0
umls.C0019156,normalized_ranks,0.2987012987012987,1.0
umls.C0019156,topology_only,0.24475524475524477,1.0
umls.C0041105,normalized_scores,0.13586413586413587,1.0
umls.C0041105,normalized_ranks,0.4565434565434565,1.0
umls.C0041105,topology_only,0.12887112887112886,1.0
umls.C0001614,normalized_scores,1.0,1.0
umls.C0001614,normalized_ranks,1.0,1.0
umls.C0001614,topology_only,0.8581418581418582,1.0
umls.C0598608,normalized_scores,0.002997002997002997,0.897217407797072
umls.C0598608,normalized_ranks,0.0919080919080919,1.0
umls.C0598608,topology_only,0.006993006993006993,0.995338616953876
umls.C0026848,normalized_scores,0.002997002997002997,0.897217407797072
umls.C0026848,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0026848,topology_only,0.024975024975024976,0.9999999784728444
umls.C0020598,normalized_scores,0.08891108891108891,1.0
umls.C0020598,normalized_ranks,0.01998001998001998,0.99999900933463
umls.C0020598,topology_only,0.0999000999000999,1.0
umls.C0085083,normalized_scores,0.8901098901098901,1.0
umls.C0085083,normalized_ranks,0.974025974025974,1.0
umls.C0085083,topology_only,1.0,1.0
umls.C0022340,normalized_scores,0.952047952047952,1.0
umls.C0022340,normalized_ranks,0.5294705294705294,1.0
umls.C0022340,topology_only,1.0,1.0
umls.C0852036,normalized_scores,0.029970029970029972,0.999999997094583
umls.C0852036,normalized_ranks,0.24475524475524477,1.0
umls.C0852036,topology_only,0.03696303696303696,0.9999999999881561
umls.C0001621,normalized_scores,1.0,1.0
umls.C0001621,normalized_ranks,0.955044955044955,1.0
umls.C0001621,topology_only,1.0,1.0
umls.C0836924,normalized_scores,0.2177822177822178,1.0
umls.C0836924,normalized_ranks,0.16083916083916083,1.0
umls.C0836924,topology_only,0.3306693306693307,1.0
umls.C0036420,normalized_scores,0.8791208791208791,1.0
umls.C0036420,normalized_ranks,1.0,1.0
umls.C0036420,topology_only,0.7042957042957043,1.0
umls.C0028738,normalized_scores,0.7782217782217782,1.0
umls.C0028738,normalized_ranks,0.989010989010989,1.0
umls.C0028738,topology_only,1.0,1.0
umls.C0014868,normalized_scores,0.8141858141858141,1.0
umls.C0014868,normalized_ranks,0.9330669330669331,1.0
umls.C0014868,topology_only,0.8401598401598401,1.0
umls.C0006384,normalized_scores,0.9560439560439561,1.0
umls.C0006384,normalized_ranks,0.8851148851148851,1.0
umls.C0006384,topology_only,1.0,1.0
umls.C0014553,normalized_scores,0.03696303696303696,0.9999999999646939
umls.C0014553,normalized_ranks,0.025974025974025976,0.9999999817082872
umls.C0014553,topology_only,0.08791208791208792,1.0
umls.C0042510,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0042510,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0042510,topology_only,0.011988011988011988,0.9998716709174056
umls.C0034186,normalized_scores,0.942057942057942,1.0
umls.C0034186,normalized_ranks,0.9460539460539461,1.0
umls.C0034186,topology_only,1.0,1.0
umls.C0004096,normalized_scores,0.003996003996003996,0.9497625737370267
umls.C0004096,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0004096,topology_only,0.03496503496503497,0.9999999999618042
umls.C0752347,normalized_scores,0.007992007992007992,0.9967242033499237
umls.C0752347,normalized_ranks,0.1038961038961039,1.0
umls.C0752347,topology_only,0.060939060939060936,1.0
umls.C0002880,normalized_scores,1.0,1.0
umls.C0002880,normalized_ranks,1.0,1.0
umls.C0002880,topology_only,1.0,1.0
umls.C0015625,normalized_scores,0.055944055944055944,0.9999999999999994
umls.C0015625,normalized_ranks,0.007992007992007992,0.9967503835429313
umls.C0015625,topology_only,0.19080919080919082,1.0
umls.C0243010,normalized_scores,1.0,1.0
umls.C0243010,normalized_ranks,0.972027972027972,1.0
umls.C0243010,topology_only,1.0,1.0
umls.C0025290,normalized_scores,0.07092907092907093,1.0
umls.C0025290,normalized_ranks,0.7262737262737263,1.0
umls.C0025290,topology_only,0.00999000999000999,0.9994792833248803
umls.C0282548,normalized_scores,0.011988011988011988,0.9997654613701733
umls.C0282548,normalized_ranks,0.024975024975024976,0.9999999651913174
umls.C0282548,topology_only,0.011988011988011988,0.9998716709174056
umls.C0026650,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0026650,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0026650,topology_only,0.008991008991008992,0.9989363058676689
umls.C0024796,normalized_scores,0.04195804195804196,0.9999999999978714
umls.C0024796,normalized_ranks,0.5704295704295704,1.0
umls.C0024796,topology_only,0.03496503496503497,0.9999999999618042
umls.C0949664,normalized_scores,0.7782217782217782,1.0
umls.C0949664,normalized_ranks,0.5954045954045954,1.0
umls.C0949664,topology_only,0.9470529470529471,1.0
umls.C0010346,normalized_scores,0.054945054945054944,0.999999999999999
umls.C0010346,normalized_ranks,0.006993006993006993,0.9934716405253209
umls.C0010346,topology_only,0.12787212787212787,1.0
umls.C0005683,normalized_scores,0.41058941058941056,1.0
umls.C0005683,normalized_ranks,0.6923076923076923,1.0
umls.C0005683,topology_only,0.4125874125874126,1.0
umls.C0027721,normalized_scores,1.0,1.0
umls.C0027721,normalized_ranks,1.0,1.0
umls.C0027721,topology_only,0.25574425574425574,1.0
umls.C0020445,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0020445,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0020445,topology_only,0.000999000999000999,0.5842043196776443
umls.C0038833,normalized_scores,0.945054945054945,1.0
umls.C0038833,normalized_ranks,1.0,1.0
umls.C0038833,topology_only,0.24475524475524477,1.0
umls.C0268124,normalized_scores,0.983016983016983,1.0
umls.C0268124,normalized_ranks,0.995004995004995,1.0
umls.C0268124,topology_only,1.0,1.0
umls.C0339143,normalized_scores,1.0,1.0
umls.C0339143,normalized_ranks,1.0,1.0
umls.C0339143,topology_only,0.986013986013986,1.0
umls.C0026850,normalized_scores,0.06693306693306693,1.0
umls.C0026850,normalized_ranks,0.1008991008991009,1.0
umls.C0026850,topology_only,0.2727272727272727,1.0
umls.C0220994,normalized_scores,0.005994005994005994,0.9874340774694488
umls.C0220994,normalized_ranks,0.04495504495504495,0.9999999999999097
umls.C0220994,topology_only,0.012987012987012988,0.9999336821876242
umls.C0015397,normalized_scores,0.986013986013986,1.0
umls.C0015397,normalized_ranks,0.983016983016983,1.0
umls.C0015397,topology_only,0.9690309690309691,1.0
umls.C1861172,normalized_scores,0.00999000999000999,0.9991483479185189
umls.C1861172,normalized_ranks,0.053946053946053944,0.9999999999999997
umls.C1861172,topology_only,0.001998001998001998,0.802496809564379
umls.C0018784,normalized_scores,0.999000999000999,1.0
umls.C0018784,normalized_ranks,1.0,1.0
umls.C0018784,topology_only,0.935064935064935,1.0
umls.C1283620,normalized_scores,1.0,1.0
umls.C1283620,normalized_ranks,1.0,1.0
umls.C1283620,topology_only,1.0,1.0
umls.C0004775,normalized_scores,0.8311688311688312,1.0
umls.C0004775,normalized_ranks,0.999000999000999,1.0
umls.C0004775,topology_only,0.6723276723276723,1.0
umls.C0017168,normalized_scores,0.08191808191808192,1.0
umls.C0017168,normalized_ranks,0.007992007992007992,0.9967503835429313
umls.C0017168,topology_only,0.26173826173826176,1.0
umls.C0162526,normalized_scores,0.36863136863136864,1.0
umls.C0162526,normalized_ranks,0.6293706293706294,1.0
umls.C0162526,topology_only,1.0,1.0
umls.C0751122,normalized_scores,0.6913086913086913,1.0
umls.C0751122,normalized_ranks,0.9590409590409591,1.0
umls.C0751122,topology_only,0.7502497502497503,1.0
umls.C0025289,normalized_scores,0.10989010989010989,1.0
umls.C0025289,normalized_ranks,0.19880119880119881,1.0
umls.C0025289,topology_only,0.3086913086913087,1.0
umls.C0026266,normalized_scores,0.1848151848151848,1.0
umls.C0026266,normalized_ranks,0.7662337662337663,1.0
umls.C0026266,topology_only,1.0,1.0
umls.C0473527,normalized_scores,0.016983016983016984,0.9999914087715346
umls.C0473527,normalized_ranks,0.21878121878121878,1.0
umls.C0473527,topology_only,0.013986013986013986,0.9999637663080142
umls.C0014548,normalized_scores,0.24275724275724275,1.0
umls.C0014548,normalized_ranks,0.9310689310689311,1.0
umls.C0014548,topology_only,0.14085914085914086,1.0
umls.C0005940,normalized_scores,0.8311688311688312,1.0
umls.C0005940,normalized_ranks,0.997002997002997,1.0
umls.C0005940,topology_only,0.8931068931068931,1.0
umls.C0005745,normalized_scores,0.5504495504495505,1.0
umls.C0005745,normalized_ranks,0.24075924075924077,1.0
umls.C0005745,topology_only,1.0,1.0
umls.C0019372,normalized_scores,0.9920079920079921,1.0
umls.C0019372,normalized_ranks,0.974025974025974,1.0
umls.C0019372,topology_only,0.4915084915084915,1.0
umls.C0020192,normalized_scores,0.995004995004995,1.0
umls.C0020192,normalized_ranks,0.5564435564435565,1.0
umls.C0020192,topology_only,1.0,1.0
umls.C0206062,normalized_scores,0.999000999000999,1.0
umls.C0206062,normalized_ranks,1.0,1.0
umls.C0206062,topology_only,0.9760239760239761,1.0
umls.C2940786,normalized_scores,0.8831168831168831,1.0
umls.C2940786,normalized_ranks,0.6543456543456544,1.0
umls.C2940786,topology_only,1.0,1.0
umls.C0002395,normalized_scores,0.03796203796203796,0.999999999977927
umls.C0002395,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0002395,topology_only,0.2807192807192807,1.0
umls.C0024115,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0024115,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0024115,topology_only,0.03796203796203796,0.9999999999928149
umls.C0036202,normalized_scores,0.4675324675324675,1.0
umls.C0036202,normalized_ranks,0.9150849150849151,1.0
umls.C0036202,topology_only,0.14885114885114886,1.0
umls.C0405580,normalized_scores,1.0,1.0
umls.C0405580,normalized_ranks,1.0,1.0
umls.C0405580,topology_only,0.957042957042957,1.0
umls.C0007570,normalized_scores,0.04295704295704296,0.9999999999987917
umls.C0007570,normalized_ranks,0.11288711288711288,1.0
umls.C0007570,topology_only,0.03296703296703297,0.9999999998653558
umls.C0393626,normalized_scores,1.0,1.0
umls.C0393626,normalized_ranks,0.999000999000999,1.0
umls.C0393626,topology_only,0.7662337662337663,1.0
umls.C0039103,normalized_scores,0.5414585414585414,1.0
umls.C0039103,normalized_ranks,0.9050949050949051,1.0
umls.C0039103,topology_only,0.27372627372627373,1.0
umls.C0162566,normalized_scores,0.984015984015984,1.0
umls.C0162566,normalized_ranks,0.993006993006993,1.0
umls.C0162566,topology_only,1.0,1.0
umls.C0751753,normalized_scores,0.003996003996003996,0.9497625737370267
umls.C0751753,normalized_ranks,0.001998001998001998,0.7790901332320234
umls.C0751753,topology_only,0.003996003996003996,0.9583803732701613
umls.C0022408,normalized_scores,0.48951048951048953,1.0
umls.C0022408,normalized_ranks,0.9370629370629371,1.0
umls.C0022408,topology_only,0.24975024975024976,1.0
umls.C0024586,normalized_scores,0.951048951048951,1.0
umls.C0024586,normalized_ranks,0.9820179820179821,1.0
umls.C0024586,topology_only,1.0,1.0
umls.C0014550,normalized_scores,0.5664335664335665,1.0
umls.C0014550,normalized_ranks,0.8291708291708292,1.0
umls.C0014550,topology_only,0.5654345654345654,1.0
umls.C0376532,normalized_scores,0.6013986013986014,1.0
umls.C0376532,normalized_ranks,0.997002997002997,1.0
umls.C0376532,topology_only,0.3106893106893107,1.0
umls.C0024473,normalized_scores,0.026973026973026972,0.9999999823986391
umls.C0024473,normalized_ranks,0.03196803196803197,0.9999999996596008
umls.C0024473,topology_only,0.08691308691308691,1.0
umls.C0586323,normalized_scores,0.7242757242757243,1.0
umls.C0586323,normalized_ranks,1.0,1.0
umls.C0586323,topology_only,0.36063936063936064,1.0
umls.C0022680,normalized_scores,0.41358641358641357,1.0
umls.C0022680,normalized_ranks,0.2967032967032967,1.0
umls.C0022680,topology_only,0.5364635364635365,1.0
umls.C0340288,normalized_scores,0.8321678321678322,1.0
umls.C0340288,normalized_ranks,0.999000999000999,1.0
umls.C0340288,topology_only,0.7952047952047953,1.0
umls.C0013312,normalized_scores,0.3106893106893107,1.0
umls.C0013312,normalized_ranks,0.18981018981018982,1.0
umls.C0013312,topology_only,1.0,1.0
umls.C0023895,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0023895,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0023895,topology_only,0.000999000999000999,0.5842043196776443
umls.C0206368,normalized_scores,0.9410589410589411,1.0
umls.C0206368,normalized_ranks,0.8191808191808192,1.0
umls.C0206368,topology_only,1.0,1.0
umls.C0236663,normalized_scores,0.04895104895104895,0.9999999999999694
umls.C0236663,normalized_ranks,0.16683316683316685,1.0
umls.C0236663,topology_only,0.06593406593406594,1.0
umls.C0015503,normalized_scores,1.0,1.0
umls.C0015503,normalized_ranks,1.0,1.0
umls.C0015503,topology_only,1.0,1.0
umls.C1318973,normalized_scores,0.6663336663336663,1.0
umls.C1318973,normalized_ranks,0.8461538461538461,1.0
umls.C1318973,topology_only,0.6293706293706294,1.0
umls.C0030554,normalized_scores,0.977022977022977,1.0
umls.C0030554,normalized_ranks,1.0,1.0
umls.C0030554,topology_only,0.996003996003996,1.0
umls.C0162823,normalized_scores,0.4925074925074925,1.0
umls.C0162823,normalized_ranks,0.9080919080919081,1.0
umls.C0162823,topology_only,0.5604395604395604,1.0
umls.C0011168,normalized_scores,0.08591408591408592,1.0
umls.C0011168,normalized_ranks,0.5574425574425574,1.0
umls.C0011168,topology_only,0.1068931068931069,1.0
umls.C0011848,normalized_scores,0.984015984015984,1.0
umls.C0011848,normalized_ranks,0.9920079920079921,1.0
umls.C0011848,topology_only,0.7862137862137862,1.0
umls.C0042029,normalized_scores,0.994005994005994,1.0
umls.C0042029,normalized_ranks,0.8701298701298701,1.0
umls.C0042029,topology_only,0.984015984015984,1.0
umls.C1853959,normalized_scores,0.3706293706293706,1.0
umls.C1853959,normalized_ranks,0.30569430569430567,1.0
umls.C1853959,topology_only,1.0,1.0
umls.C0026918,normalized_scores,0.23976023976023977,1.0
umls.C0026918,normalized_ranks,0.3646353646353646,1.0
umls.C0026918,topology_only,0.3066933066933067,1.0
umls.C0751434,normalized_scores,0.003996003996003996,0.9497625737370267
umls.C0751434,normalized_ranks,0.003996003996003996,0.94622393654265
umls.C0751434,topology_only,1.0,1.0
umls.C0006112,normalized_scores,1.0,1.0
umls.C0006112,normalized_ranks,1.0,1.0
umls.C0006112,topology_only,1.0,1.0
umls.C0029928,normalized_scores,0.8681318681318682,1.0
umls.C0029928,normalized_ranks,1.0,1.0
umls.C0029928,topology_only,0.8451548451548452,1.0
umls.C0409959,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0409959,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0409959,topology_only,0.01098901098901099,0.9997398436161401
umls.C0018021,normalized_scores,0.42357642357642356,1.0
umls.C0018021,normalized_ranks,0.7552447552447552,1.0
umls.C0018021,topology_only,0.6243756243756243,1.0
umls.C0023281,normalized_scores,0.7302697302697303,1.0
umls.C0023281,normalized_ranks,1.0,1.0
umls.C0023281,topology_only,0.6293706293706294,1.0
umls.C0029106,normalized_scores,0.922077922077922,1.0
umls.C0029106,normalized_ranks,0.968031968031968,1.0
umls.C0029106,topology_only,1.0,1.0
umls.C0521607,normalized_scores,0.3996003996003996,1.0
umls.C0521607,normalized_ranks,0.46053946053946054,1.0
umls.C0521607,topology_only,0.25774225774225773,1.0
umls.C1412000,normalized_scores,0.011988011988011988,0.9997654613701733
umls.C1412000,normalized_ranks,0.016983016983016984,0.9999931237993558
umls.C1412000,topology_only,0.001998001998001998,0.802496809564379
umls.C0149931,normalized_scores,0.005994005994005994,0.9874340774694488
umls.C0149931,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0149931,topology_only,0.3246753246753247,1.0
umls.C0270846,normalized_scores,0.056943056943056944,0.9999999999999996
umls.C0270846,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0270846,topology_only,0.6043956043956044,1.0
umls.C0015371,normalized_scores,0.003996003996003996,0.9497625737370267
umls.C0015371,normalized_ranks,0.017982017982017984,0.9999964146357498
umls.C0015371,topology_only,0.003996003996003996,0.9583803732701613
umls.C0004030,normalized_scores,0.12487512487512488,1.0
umls.C0004030,normalized_ranks,0.2897102897102897,1.0
umls.C0004030,topology_only,0.14585414585414586,1.0
umls.C2607914,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C2607914,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C2607914,topology_only,0.001998001998001998,0.802496809564379
umls.C0014852,normalized_scores,0.5464535464535465,1.0
umls.C0014852,normalized_ranks,0.7912087912087912,1.0
umls.C0014852,topology_only,0.6533466533466533,1.0
umls.C0023290,normalized_scores,0.3596403596403596,1.0
umls.C0023290,normalized_ranks,0.994005994005994,1.0
umls.C0023290,topology_only,0.3206793206793207,1.0
umls.C0013386,normalized_scores,0.001998001998001998,0.7902838901418248
umls.C0013386,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0013386,topology_only,0.17482517482517482,1.0
umls.C0017658,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0017658,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0017658,topology_only,0.003996003996003996,0.9583803732701613
umls.C0035204,normalized_scores,0.994005994005994,1.0
umls.C0035204,normalized_ranks,1.0,1.0
umls.C0035204,topology_only,0.993006993006993,1.0
umls.C3665358,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C3665358,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C3665358,topology_only,0.000999000999000999,0.5842043196776443
umls.C0342881,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0342881,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0342881,topology_only,0.000999000999000999,0.5842043196776443
umls.C0018802,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0018802,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0018802,topology_only,0.004995004995004995,0.9799770161274082
umls.C0018790,normalized_scores,0.4125874125874126,1.0
umls.C0018790,normalized_ranks,0.5864135864135864,1.0
umls.C0018790,topology_only,0.48451548451548454,1.0
umls.C0271093,normalized_scores,0.4515484515484515,1.0
umls.C0271093,normalized_ranks,0.5564435564435565,1.0
umls.C0271093,topology_only,1.0,1.0
umls.C2717905,normalized_scores,0.5114885114885115,1.0
umls.C2717905,normalized_ranks,0.993006993006993,1.0
umls.C2717905,topology_only,0.06293706293706294,1.0
umls.C0393593,normalized_scores,0.5184815184815185,1.0
umls.C0393593,normalized_ranks,1.0,1.0
umls.C0393593,topology_only,0.4275724275724276,1.0
umls.C0034068,normalized_scores,0.14685314685314685,1.0
umls.C0034068,normalized_ranks,0.9920079920079921,1.0
umls.C0034068,topology_only,0.15084915084915085,1.0
umls.C0007785,normalized_scores,0.016983016983016984,0.9999914087715346
umls.C0007785,normalized_ranks,0.017982017982017984,0.9999964146357498
umls.C0007785,topology_only,0.017982017982017984,0.9999977631403629
umls.C0018824,normalized_scores,0.8541458541458542,1.0
umls.C0018824,normalized_ranks,0.7812187812187812,1.0
umls.C0018824,topology_only,0.983016983016983,1.0
umls.C0004153,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0004153,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0004153,topology_only,0.000999000999000999,0.5842043196776443
umls.C0038525,normalized_scores,0.4025974025974026,1.0
umls.C0038525,normalized_ranks,0.5554445554445554,1.0
umls.C0038525,topology_only,0.6633366633366633,1.0
umls.C1384666,normalized_scores,0.43756243756243757,1.0
umls.C1384666,normalized_ranks,0.23276723276723277,1.0
umls.C1384666,topology_only,0.7512487512487512,1.0
umls.C0026769,normalized_scores,0.001998001998001998,0.7902838901418248
umls.C0026769,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0026769,topology_only,0.012987012987012988,0.9999336821876242
umls.C0028326,normalized_scores,0.9070929070929071,1.0
umls.C0028326,normalized_ranks,0.5014985014985015,1.0
umls.C0028326,topology_only,1.0,1.0
umls.C0007193,normalized_scores,0.001998001998001998,0.7902838901418248
umls.C0007193,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0007193,topology_only,0.012987012987012988,0.9999336821876242
umls.C0007192,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0007192,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0007192,topology_only,0.000999000999000999,0.5842043196776443
umls.C0020443,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0020443,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0020443,topology_only,0.000999000999000999,0.5842043196776443
umls.C0032001,normalized_scores,1.0,1.0
umls.C0032001,normalized_ranks,1.0,1.0
umls.C0032001,topology_only,0.971028971028971,1.0
umls.C0005779,normalized_scores,0.001998001998001998,0.7902838901418248
umls.C0005779,normalized_ranks,0.004995004995004995,0.9734958314530195
umls.C0005779,topology_only,0.001998001998001998,0.802496809564379
umls.C0001403,normalized_scores,1.0,1.0
umls.C0001403,normalized_ranks,1.0,1.0
umls.C0001403,topology_only,0.8161838161838162,1.0
umls.C0025521,normalized_scores,0.03696303696303696,0.9999999999646939
umls.C0025521,normalized_ranks,0.055944055944055944,0.9999999999999999
umls.C0025521,topology_only,0.055944055944055944,0.9999999999999999
umls.C0221163,normalized_scores,0.991008991008991,1.0
umls.C0221163,normalized_ranks,0.8681318681318682,1.0
umls.C0221163,topology_only,1.0,1.0
umls.C0017662,normalized_scores,0.27472527472527475,1.0
umls.C0017662,normalized_ranks,0.9180819180819181,1.0
umls.C0017662,topology_only,0.07292707292707293,1.0
umls.C0002382,normalized_scores,0.8191808191808192,1.0
umls.C0002382,normalized_ranks,0.955044955044955,1.0
umls.C0002382,topology_only,0.8681318681318682,1.0
umls.C0018801,normalized_scores,0.000999000999000999,0.5842043196776443
umls.C0018801,normalized_ranks,0.000999000999000999,0.5842043196776443
umls.C0018801,topology_only,0.000999000999000999,0.5842043196776443
umls.C0032290,normalized_scores,0.8061938061938062,1.0
