node,distance_type,p_value,adjusted_p_value
M40,topology_only,0.46653346653346656,1.0
M40,normalized_ranks,1.0,1.0
M40,normalized_scores,0.8611388611388612,1.0
K44,topology_only,0.24375624375624375,1.0
K44,normalized_ranks,0.000999000999000999,0.4672405179454493
K44,normalized_scores,0.07892107892107893,0.9999999999996239
P75,topology_only,0.16183816183816183,1.0
P75,normalized_ranks,0.001998001998001998,0.5708721054545314
P75,normalized_scores,0.00999000999000999,0.9885287229805567
E85,topology_only,0.5774225774225774,1.0
E85,normalized_ranks,0.6253746253746254,1.0
E85,normalized_scores,0.34265734265734266,1.0
Q92,topology_only,0.9920079920079921,1.0
Q92,normalized_ranks,0.7652347652347652,1.0
Q92,normalized_scores,1.0,1.0
D13,topology_only,0.000999000999000999,0.4672405179454493
D13,normalized_ranks,0.000999000999000999,0.4672405179454493
D13,normalized_scores,0.000999000999000999,0.4672405179454493
P59,topology_only,0.0919080919080919,1.0
P59,normalized_ranks,0.000999000999000999,0.4672405179454493
P59,normalized_scores,0.011988011988011988,0.9949201629227764
Q42,topology_only,0.23476523476523475,1.0
Q42,normalized_ranks,0.47952047952047955,1.0
Q42,normalized_scores,0.12087912087912088,1.0
O14,topology_only,0.5034965034965035,1.0
O14,normalized_ranks,0.998001998001998,1.0
O14,normalized_scores,0.23976023976023977,1.0
E28,topology_only,0.4945054945054945,1.0
E28,normalized_ranks,0.973026973026973,1.0
E28,normalized_scores,0.34665334665334663,1.0
G20,topology_only,0.5014985014985015,1.0
G20,normalized_ranks,0.19880119880119881,1.0
G20,normalized_scores,0.4855144855144855,1.0
L56,topology_only,0.07992007992007992,1.0
L56,normalized_ranks,0.000999000999000999,0.4672405179454493
L56,normalized_scores,0.000999000999000999,0.4672405179454493
C61,topology_only,0.8831168831168831,1.0
C61,normalized_ranks,0.000999000999000999,0.4672405179454493
C61,normalized_scores,0.000999000999000999,0.4672405179454493
C41,topology_only,0.6213786213786214,1.0
C41,normalized_ranks,0.01098901098901099,0.9836010678882555
C41,normalized_scores,0.21978021978021978,1.0
B55,topology_only,0.014985014985014986,0.9997806673409655
B55,normalized_ranks,0.006993006993006993,0.9319648182049514
B55,normalized_scores,0.003996003996003996,0.8476971636920038
G14,topology_only,0.44155844155844154,1.0
G14,normalized_ranks,0.06893106893106893,0.9999999996775655
G14,normalized_scores,0.981018981018981,1.0
Q75,topology_only,0.6663336663336663,1.0
Q75,normalized_ranks,0.000999000999000999,0.4672405179454493
Q75,normalized_scores,0.5504495504495505,1.0
M02,topology_only,0.47952047952047955,1.0
M02,normalized_ranks,0.4045954045954046,1.0
M02,normalized_scores,0.17182817182817184,1.0
E61,topology_only,0.4125874125874126,1.0
E61,normalized_ranks,0.000999000999000999,0.4672405179454493
E61,normalized_scores,0.07192807192807193,0.9999999999961209
N04,topology_only,0.24275724275724275,1.0
N04,normalized_ranks,0.999000999000999,1.0
N04,normalized_scores,0.37962037962037964,1.0
F63,topology_only,0.2727272727272727,1.0
F63,normalized_ranks,0.000999000999000999,0.4672405179454493
F63,normalized_scores,0.000999000999000999,0.4672405179454493
L51,topology_only,0.055944055944055944,0.9999999999995794
L51,normalized_ranks,0.03296703296703297,0.9999883963702707
L51,normalized_scores,0.00999000999000999,0.9885287229805567
K50,topology_only,0.12787212787212787,1.0
K50,normalized_ranks,0.001998001998001998,0.5708721054545314
