node,distance_type,p_value,adjusted_p_value
mondo.0013450,topology_only,1.0,1.0
mondo.0013450,normalized_ranks,0.932067932067932,1.0
mondo.0013450,normalized_scores,0.6583416583416584,1.0
mondo.0017609,topology_only,0.5714285714285714,1.0
mondo.0017609,normalized_ranks,0.999000999000999,1.0
mondo.0017609,normalized_scores,0.32367632367632365,1.0
mondo.0010358,topology_only,0.000999000999000999,0.9983628414605563
mondo.0010358,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0010358,normalized_scores,0.04295704295704296,1.0
mondo.0011973,topology_only,1.0,1.0
mondo.0011973,normalized_ranks,1.0,1.0
mondo.0011973,normalized_scores,1.0,1.0
mondo.0010337,topology_only,1.0,1.0
mondo.0010337,normalized_ranks,0.23476523476523475,1.0
mondo.0010337,normalized_scores,0.2037962037962038,1.0
mondo.0019297,topology_only,1.0,1.0
mondo.0019297,normalized_ranks,0.9530469530469531,1.0
mondo.0019297,normalized_scores,0.9410589410589411,1.0
mondo.0019026,topology_only,0.001998001998001998,0.999885163711717
mondo.0019026,normalized_ranks,0.006993006993006993,0.9999999999965515
mondo.0019026,normalized_scores,0.001998001998001998,0.9997989592305393
mondo.0012631,topology_only,1.0,1.0
mondo.0012631,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0012631,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013585,topology_only,0.01998001998001998,1.0
mondo.0013585,normalized_ranks,0.15884115884115885,1.0
mondo.0013585,normalized_scores,0.5114885114885115,1.0
mondo.0010028,topology_only,0.000999000999000999,0.9983628414605563
mondo.0010028,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0010028,normalized_scores,0.013986013986013986,1.0
mondo.0014354,topology_only,1.0,1.0
mondo.0014354,normalized_ranks,1.0,1.0
mondo.0014354,normalized_scores,1.0,1.0
mondo.0024551,topology_only,0.006993006993006993,0.9999999999992426
mondo.0024551,normalized_ranks,0.002997002997002997,0.9999955302064113
mondo.0024551,normalized_scores,0.006993006993006993,0.9999999999925377
mondo.0024526,topology_only,0.000999000999000999,0.9983628414605563
mondo.0024526,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0024526,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0011778,topology_only,0.01998001998001998,1.0
mondo.0011778,normalized_ranks,0.12687312687312688,1.0
mondo.0011778,normalized_scores,0.4305694305694306,1.0
mondo.0010839,topology_only,0.000999000999000999,0.9983628414605563
mondo.0010839,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0010839,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0008890,topology_only,1.0,1.0
mondo.0008890,normalized_ranks,0.16783216783216784,1.0
mondo.0008890,normalized_scores,0.952047952047952,1.0
mondo.0012733,topology_only,0.000999000999000999,0.9983628414605563
mondo.0012733,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0012733,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013227,topology_only,1.0,1.0
mondo.0013227,normalized_ranks,0.002997002997002997,0.9999955302064113
mondo.0013227,normalized_scores,0.005994005994005994,0.9999999997979917
mondo.0011365,topology_only,0.011988011988011988,1.0
mondo.0011365,normalized_ranks,0.001998001998001998,0.9998166296845298
mondo.0011365,normalized_scores,0.01098901098901099,1.0
mondo.0009737,topology_only,1.0,1.0
mondo.0009737,normalized_ranks,0.8571428571428571,1.0
mondo.0009737,normalized_scores,0.3336663336663337,1.0
mondo.0014193,topology_only,1.0,1.0
mondo.0014193,normalized_ranks,0.7292707292707292,1.0
mondo.0014193,normalized_scores,0.6113886113886113,1.0
mondo.0005607,topology_only,0.32667332667332666,1.0
mondo.0005607,normalized_ranks,0.21678321678321677,1.0
mondo.0005607,normalized_scores,0.10989010989010989,1.0
mondo.0007790,topology_only,0.000999000999000999,0.9983628414605563
mondo.0007790,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0007790,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0014474,topology_only,0.002997002997002997,0.9999978703215868
mondo.0014474,normalized_ranks,0.16283716283716285,1.0
mondo.0014474,normalized_scores,0.9140859140859141,1.0
mondo.0007542,topology_only,1.0,1.0
mondo.0007542,normalized_ranks,0.3756243756243756,1.0
mondo.0007542,normalized_scores,0.7582417582417582,1.0
mondo.0019623,topology_only,0.000999000999000999,0.9983628414605563
mondo.0019623,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0019623,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0000208,topology_only,1.0,1.0
mondo.0000208,normalized_ranks,0.15084915084915085,1.0
mondo.0000208,normalized_scores,0.18181818181818182,1.0
mondo.0014533,topology_only,0.000999000999000999,0.9983628414605563
mondo.0014533,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0014533,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0009080,topology_only,1.0,1.0
mondo.0009080,normalized_ranks,0.001998001998001998,0.9998166296845298
mondo.0009080,normalized_scores,0.5114885114885115,1.0
mondo.0008276,topology_only,0.004995004995004995,0.999999999032376
mondo.0008276,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0008276,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013896,topology_only,1.0,1.0
mondo.0013896,normalized_ranks,0.6193806193806194,1.0
mondo.0013896,normalized_scores,0.9630369630369631,1.0
mondo.0005480,topology_only,1.0,1.0
mondo.0005480,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0005480,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0016830,topology_only,0.000999000999000999,0.9983628414605563
mondo.0016830,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0016830,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013959,topology_only,0.011988011988011988,1.0
mondo.0013959,normalized_ranks,0.001998001998001998,0.9998166296845298
mondo.0013959,normalized_scores,1.0,1.0
mondo.0012626,topology_only,0.000999000999000999,0.9983628414605563
mondo.0012626,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0012626,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0014734,topology_only,1.0,1.0
mondo.0014734,normalized_ranks,0.7802197802197802,1.0
mondo.0014734,normalized_scores,0.8891108891108891,1.0
mondo.0013861,topology_only,0.007992007992007992,0.9999999999999767
mondo.0013861,normalized_ranks,0.028971028971028972,1.0
mondo.0013861,normalized_scores,0.007992007992007992,0.9999999999996735
mondo.0011940,topology_only,0.000999000999000999,0.9983628414605563
mondo.0011940,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0011940,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0009215,topology_only,0.027972027972027972,1.0
mondo.0009215,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0009215,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013946,topology_only,1.0,1.0
mondo.0013946,normalized_ranks,0.5894105894105894,1.0
mondo.0013946,normalized_scores,0.5294705294705294,1.0
mondo.0009857,topology_only,1.0,1.0
mondo.0009857,normalized_ranks,1.0,1.0
mondo.0009857,normalized_scores,1.0,1.0
mondo.0000190,topology_only,0.0989010989010989,1.0
mondo.0000190,normalized_ranks,0.03696303696303696,1.0
mondo.0000190,normalized_scores,0.006993006993006993,0.9999999999925377
mondo.0010298,topology_only,0.003996003996003996,0.999999957975274
mondo.0010298,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0010298,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0015753,topology_only,0.002997002997002997,0.9999978703215868
mondo.0015753,normalized_ranks,0.008991008991008992,0.9999999999999963
mondo.0015753,normalized_scores,0.002997002997002997,0.9999947594739226
mondo.0013372,topology_only,0.000999000999000999,0.9983628414605563
mondo.0013372,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0013372,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0020721,topology_only,0.2647352647352647,1.0
mondo.0020721,normalized_ranks,0.002997002997002997,0.9999955302064113
mondo.0020721,normalized_scores,0.001998001998001998,0.9997989592305393
mondo.0007958,topology_only,0.000999000999000999,0.9983628414605563
mondo.0007958,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0007958,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0013504,topology_only,0.00999000999000999,1.0
mondo.0013504,normalized_ranks,0.7572427572427572,1.0
mondo.0013504,normalized_scores,0.9410589410589411,1.0
mondo.0012191,topology_only,1.0,1.0
mondo.0012191,normalized_ranks,0.02197802197802198,1.0
mondo.0012191,normalized_scores,0.024975024975024976,1.0
mondo.0012903,topology_only,1.0,1.0
mondo.0012903,normalized_ranks,1.0,1.0
mondo.0012903,normalized_scores,1.0,1.0
mondo.0012565,topology_only,0.000999000999000999,0.9983628414605563
mondo.0012565,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0012565,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0011015,topology_only,1.0,1.0
mondo.0011015,normalized_ranks,0.975024975024975,1.0
mondo.0011015,normalized_scores,1.0,1.0
mondo.0010857,topology_only,0.000999000999000999,0.9983628414605563
mondo.0010857,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0010857,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0003785,topology_only,0.000999000999000999,0.9983628414605563
mondo.0003785,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0003785,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0014033,topology_only,1.0,1.0
mondo.0014033,normalized_ranks,1.0,1.0
mondo.0014033,normalized_scores,0.6113886113886113,1.0
mondo.0014126,topology_only,0.000999000999000999,0.9983628414605563
mondo.0014126,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0014126,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0008290,topology_only,0.000999000999000999,0.9983628414605563
mondo.0008290,normalized_ranks,0.000999000999000999,0.9983628414605563
mondo.0008290,normalized_scores,0.000999000999000999,0.9983628414605563
mondo.0015635,topology_only,0.000999000999000999,0.9983628414605563
