node,distance_type,p_value,adjusted_p_value
C23,normalized_ranks,0.000999000999000999,0.4714834782162799
C23,topology_only,0.07292707292707293,0.9999999999999973
C23,normalized_scores,0.011988011988011988,0.9980408634862608
C25,normalized_ranks,0.002997002997002997,0.738591730450709
C25,topology_only,0.016983016983016984,0.9998819083848125
C25,normalized_scores,0.007992007992007992,0.9857753811417582
E77,normalized_ranks,0.000999000999000999,0.4714834782162799
E77,topology_only,0.7172827172827173,1.0
E77,normalized_scores,0.9410589410589411,1.0
G51,normalized_ranks,0.938061938061938,1.0
G51,topology_only,0.9530469530469531,1.0
G51,normalized_scores,0.8641358641358642,1.0
J17,normalized_ranks,0.01098901098901099,0.9884853347784529
J17,topology_only,0.4325674325674326,1.0
J17,normalized_scores,0.24575424575424576,1.0
C05,normalized_ranks,0.998001998001998,1.0
C05,topology_only,1.0,1.0
C05,normalized_scores,1.0,1.0
G30,normalized_ranks,0.3866133866133866,1.0
G30,topology_only,0.8251748251748252,1.0
G30,normalized_scores,0.6523476523476524,1.0
G11,normalized_ranks,0.000999000999000999,0.4714834782162799
G11,topology_only,0.42957042957042957,1.0
G11,normalized_scores,0.44655344655344653,1.0
E29,normalized_ranks,0.8161838161838162,1.0
E29,topology_only,0.5314685314685315,1.0
E29,normalized_scores,0.5524475524475524,1.0
K10,normalized_ranks,0.001998001998001998,0.6014810811280543
K10,topology_only,0.3876123876123876,1.0
K10,normalized_scores,0.14785214785214784,1.0
Q69,normalized_ranks,0.995004995004995,1.0
Q69,topology_only,0.05194805194805195,0.9999999999848432
Q69,normalized_scores,0.24675324675324675,1.0
H20,normalized_ranks,0.000999000999000999,0.4714834782162799
H20,topology_only,0.7492507492507493,1.0
H20,normalized_scores,0.43956043956043955,1.0
H57,normalized_ranks,0.000999000999000999,0.4714834782162799
H57,topology_only,0.44655344655344653,1.0
H57,normalized_scores,0.2137862137862138,1.0
D89,normalized_ranks,0.5534465534465535,1.0
D89,topology_only,0.04995004995004995,0.9999999999686441
D89,normalized_scores,0.058941058941058944,0.9999999999917002
B52,normalized_ranks,0.8381618381618382,1.0
B52,topology_only,0.5254745254745254,1.0
B52,normalized_scores,0.7512487512487512,1.0
M21,normalized_ranks,0.14685314685314685,1.0
M21,topology_only,0.12187812187812187,1.0
M21,normalized_scores,0.0979020979020979,1.0
