node,distance_type,p_value,adjusted_p_value
C23,normalized_ranks,1.0,1.0
C23,topology_only,0.18981018981018982,1.0
C23,normalized_scores,0.056943056943056944,0.999999999997078
C25,normalized_ranks,0.01998001998001998,0.9998580503825749
C25,topology_only,0.001998001998001998,0.7573173052887121
C25,normalized_scores,0.000999000999000999,0.5464295904928391
E77,normalized_ranks,0.000999000999000999,0.5464295904928391
E77,topology_only,0.2867132867132867,1.0
E77,normalized_scores,0.11588411588411589,1.0
B68,normalized_ranks,0.3626373626373626,1.0
B68,topology_only,0.06893106893106893,0.999999999999999
B68,normalized_scores,1.0,1.0
G51,normalized_ranks,0.3116883116883117,1.0
G51,topology_only,0.5084915084915085,1.0
G51,normalized_scores,0.9330669330669331,1.0
J17,normalized_ranks,0.000999000999000999,0.5464295904928391
J17,topology_only,0.002997002997002997,0.8685351851094997
J17,normalized_scores,0.000999000999000999,0.5464295904928391
C05,normalized_ranks,1.0,1.0
C05,topology_only,1.0,1.0
C05,normalized_scores,0.996003996003996,1.0
G30,normalized_ranks,0.000999000999000999,0.5464295904928391
G30,topology_only,0.3596403596403596,1.0
G30,normalized_scores,0.11888111888111888,1.0
G11,normalized_ranks,0.000999000999000999,0.5464295904928391
G11,topology_only,0.003996003996003996,0.928827315101056
G11,normalized_scores,0.000999000999000999,0.5464295904928391
E29,normalized_ranks,0.000999000999000999,0.5464295904928391
E29,topology_only,0.01098901098901099,0.9987227567320571
E29,normalized_scores,0.007992007992007992,0.9907772619569593
K10,normalized_ranks,0.000999000999000999,0.5464295904928391
K10,topology_only,1.0,1.0
K10,normalized_scores,0.000999000999000999,0.5464295904928391
Q69,normalized_ranks,0.056943056943056944,0.99999999982298
Q69,topology_only,0.08891108891108891,1.0
Q69,normalized_scores,0.027972027972027972,0.999999433587624
H20,normalized_ranks,0.027972027972027972,0.9999931229590784
H20,topology_only,0.054945054945054944,0.9999999999994648
H20,normalized_scores,0.016983016983016984,0.9999021884157662
H57,normalized_ranks,0.000999000999000999,0.5464295904928391
H57,topology_only,0.22077922077922077,1.0
H57,normalized_scores,0.03796203796203796,0.9999999914441999
D89,normalized_ranks,0.000999000999000999,0.5464295904928391
D89,topology_only,0.5714285714285714,1.0
D89,normalized_scores,0.3196803196803197,1.0
B52,normalized_ranks,1.0,1.0
B52,topology_only,0.11588411588411589,1.0
B52,normalized_scores,0.059940059940059943,0.9999999999991153
M21,normalized_ranks,1.0,1.0
M21,topology_only,0.6043956043956044,1.0
M21,normalized_scores,0.971028971028971,1.0
C48,normalized_ranks,0.002997002997002997,0.7874919799543194
C48,topology_only,0.001998001998001998,0.7573173052887121
C48,normalized_scores,0.000999000999000999,0.5464295904928391
G71,normalized_ranks,0.000999000999000999,0.5464295904928391
G71,topology_only,0.12287712287712288,1.0
G71,normalized_scores,0.014985014985014986,0.9997249189066707
Q35,normalized_ranks,0.005994005994005994,0.9428303471836998
Q35,topology_only,0.6413586413586414,1.0
Q35,normalized_scores,0.22677322677322678,1.0
G61,normalized_ranks,0.04695304695304695,0.9999999931814785
G61,topology_only,0.000999000999000999,0.5464295904928391
G61,normalized_scores,0.02197802197802198,0.9999906324059363
B40,normalized_ranks,0.998001998001998,1.0
B40,topology_only,1.0,1.0
B40,normalized_scores,1.0,1.0
G32,normalized_ranks,0.000999000999000999,0.5464295904928391
G32,topology_only,0.003996003996003996,0.928827315101056
