node,distance_type,p_value,adjusted_p_value
mondo.0010619,topology_only,0.001998001998001998,0.8691888603414859
mondo.0010619,normalized_ranks,0.001998001998001998,0.8464916973767911
mondo.0010619,normalized_scores,0.001998001998001998,0.8528055296083531
mondo.0008575,topology_only,0.000999000999000999,0.6952933888663368
mondo.0008575,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0008575,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0000104,topology_only,1.0,1.0
mondo.0000104,normalized_ranks,0.7112887112887113,1.0
mondo.0000104,normalized_scores,0.9110889110889111,1.0
mondo.0004843,topology_only,0.27972027972027974,1.0
mondo.0004843,normalized_ranks,0.12687312687312688,1.0
mondo.0004843,normalized_scores,0.16483516483516483,1.0
mondo.0005965,topology_only,1.0,1.0
mondo.0005965,normalized_ranks,0.6933066933066933,1.0
mondo.0005965,normalized_scores,0.8361638361638362,1.0
mondo.0043373,topology_only,0.8811188811188811,1.0
mondo.0043373,normalized_ranks,1.0,1.0
mondo.0043373,normalized_scores,0.977022977022977,1.0
mondo.0002081,topology_only,0.20279720279720279,1.0
mondo.0002081,normalized_ranks,1.0,1.0
mondo.0002081,normalized_scores,0.8911088911088911,1.0
mondo.0003406,topology_only,0.000999000999000999,0.6952933888663368
mondo.0003406,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0003406,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0013189,topology_only,0.4945054945054945,1.0
mondo.0013189,normalized_ranks,0.7452547452547452,1.0
mondo.0013189,normalized_scores,0.5254745254745254,1.0
mondo.0005747,topology_only,0.8131868131868132,1.0
mondo.0005747,normalized_ranks,0.7762237762237763,1.0
mondo.0005747,normalized_scores,0.961038961038961,1.0
mondo.0001881,topology_only,0.31868131868131866,1.0
mondo.0001881,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0001881,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0006001,topology_only,1.0,1.0
mondo.0006001,normalized_ranks,0.0969030969030969,1.0
mondo.0006001,normalized_scores,0.9270729270729271,1.0
mondo.0021697,topology_only,0.016983016983016984,0.9999995562770486
mondo.0021697,normalized_ranks,0.15384615384615385,1.0
mondo.0021697,normalized_scores,0.022977022977022976,0.9999999863283314
mondo.0013361,topology_only,1.0,1.0
mondo.0013361,normalized_ranks,0.2957042957042957,1.0
mondo.0013361,normalized_scores,0.9500499500499501,1.0
mondo.0005266,topology_only,0.000999000999000999,0.6952933888663368
mondo.0005266,normalized_ranks,0.001998001998001998,0.8464916973767911
mondo.0005266,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0005397,topology_only,0.3116883116883117,1.0
mondo.0005397,normalized_ranks,0.27672327672327673,1.0
mondo.0005397,normalized_scores,0.17582417582417584,1.0
mondo.0004849,topology_only,0.001998001998001998,0.8691888603414859
mondo.0004849,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0004849,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0015760,topology_only,0.025974025974025976,0.9999999995755355
mondo.0015760,normalized_ranks,0.42357642357642356,1.0
mondo.0015760,normalized_scores,0.04995004995004995,0.9999999999999998
mondo.0006629,topology_only,0.5454545454545454,1.0
mondo.0006629,normalized_ranks,0.16483516483516483,1.0
mondo.0006629,normalized_scores,0.42657342657342656,1.0
mondo.0017376,topology_only,0.6403596403596403,1.0
mondo.0017376,normalized_ranks,0.997002997002997,1.0
mondo.0017376,normalized_scores,0.9430569430569431,1.0
mondo.0005191,topology_only,0.000999000999000999,0.6952933888663368
mondo.0005191,normalized_ranks,0.43356643356643354,1.0
mondo.0005191,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0010383,topology_only,0.44255744255744256,1.0
mondo.0010383,normalized_ranks,0.8601398601398601,1.0
mondo.0010383,normalized_scores,0.5614385614385614,1.0
mondo.0005399,topology_only,0.000999000999000999,0.6952933888663368
mondo.0005399,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0005399,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0006244,topology_only,1.0,1.0
mondo.0006244,normalized_ranks,0.5764235764235764,1.0
mondo.0006244,normalized_scores,0.006993006993006993,0.9975558546529223
mondo.0005299,topology_only,0.1068931068931069,1.0
mondo.0005299,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0005299,normalized_scores,0.008991008991008992,0.9994788691986155
mondo.0021223,topology_only,0.5254745254745254,1.0
mondo.0021223,normalized_ranks,0.7902097902097902,1.0
mondo.0021223,normalized_scores,0.4205794205794206,1.0
mondo.0005072,topology_only,0.000999000999000999,0.6952933888663368
mondo.0005072,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0005072,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0002108,topology_only,0.000999000999000999,0.6952933888663368
mondo.0002108,normalized_ranks,0.23776223776223776,1.0
mondo.0002108,normalized_scores,0.000999000999000999,0.6952933888663368
mondo.0005972,topology_only,1.0,1.0
mondo.0005972,normalized_ranks,0.8201798201798202,1.0
mondo.0005972,normalized_scores,0.6773226773226774,1.0
mondo.0005545,topology_only,0.030969030969030968,0.9999999999914198
mondo.0005545,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0005545,normalized_scores,0.017982017982017984,0.9999994761656649
mondo.0005113,topology_only,0.002997002997002997,0.9465744899966142
mondo.0005113,normalized_ranks,0.000999000999000999,0.6952933888663368
mondo.0005113,normalized_scores,0.000999000999000999,0.6952933888663368
