node,distance_type,p_value,adjusted_p_value
G36,normalized_scores,0.000999000999000999,0.4651062813287682
G36,normalized_ranks,0.000999000999000999,0.4651062813287682
G36,topology_only,0.000999000999000999,0.4651062813287682
Q96,normalized_scores,0.005994005994005994,0.865746044227953
Q96,normalized_ranks,1.0,1.0
Q96,topology_only,0.7782217782217782,1.0
B82,normalized_scores,0.000999000999000999,0.4651062813287682
B82,normalized_ranks,0.000999000999000999,0.4651062813287682
B82,topology_only,0.000999000999000999,0.4651062813287682
E27,normalized_scores,0.15284715284715283,0.999999999999998
E27,normalized_ranks,0.4175824175824176,1.0
E27,topology_only,0.1088911088911089,0.9999999999999998
B73,normalized_scores,0.000999000999000999,0.4651062813287682
B73,normalized_ranks,0.000999000999000999,0.4651062813287682
B73,topology_only,0.000999000999000999,0.4651062813287682
D66,normalized_scores,0.7752247752247752,1.0
D66,normalized_ranks,0.000999000999000999,0.4651062813287682
D66,topology_only,1.0,1.0
Q61,normalized_scores,0.23176823176823177,1.0
Q61,normalized_ranks,0.000999000999000999,0.4651062813287682
Q61,topology_only,0.5464535464535465,1.0
S12,normalized_scores,0.9200799200799201,1.0
S12,normalized_ranks,0.2977022977022977,1.0
S12,topology_only,0.993006993006993,1.0
N04,normalized_scores,0.938061938061938,1.0
N04,normalized_ranks,0.7872127872127872,1.0
N04,topology_only,0.995004995004995,1.0
O26,normalized_scores,0.17582417582417584,1.0
O26,normalized_ranks,0.12787212787212787,0.9999999999999918
O26,topology_only,0.4595404595404595,1.0
K82,normalized_scores,0.000999000999000999,0.4651062813287682
K82,normalized_ranks,0.000999000999000999,0.4651062813287682
K82,topology_only,0.000999000999000999,0.4651062813287682
B48,normalized_scores,0.000999000999000999,0.4651062813287682
B48,normalized_ranks,0.000999000999000999,0.4651062813287682
B48,topology_only,0.000999000999000999,0.4651062813287682
K30,normalized_scores,0.04095904095904096,0.9999852536893368
K30,normalized_ranks,0.001998001998001998,0.5332680896844992
K30,topology_only,0.13086913086913088,1.0
C82,normalized_scores,0.9500499500499501,1.0
C82,normalized_ranks,1.0,1.0
C82,topology_only,0.993006993006993,1.0
K86,normalized_scores,0.000999000999000999,0.4651062813287682
K86,normalized_ranks,0.016983016983016984,0.9955405364261157
K86,topology_only,0.000999000999000999,0.4651062813287682
K70,normalized_scores,0.000999000999000999,0.4651062813287682
K70,normalized_ranks,0.003996003996003996,0.7634139683995398
K70,topology_only,0.07492507492507493,0.9999999999945436
E72,normalized_scores,0.6763236763236763,1.0
E72,normalized_ranks,0.000999000999000999,0.4651062813287682
E72,topology_only,0.98001998001998,1.0
I60,normalized_scores,0.000999000999000999,0.4651062813287682
I60,normalized_ranks,0.001998001998001998,0.5332680896844992
I60,topology_only,0.000999000999000999,0.4651062813287682
Q54,normalized_scores,0.000999000999000999,0.4651062813287682
Q54,normalized_ranks,0.000999000999000999,0.4651062813287682
Q54,topology_only,0.00999000999000999,0.9804694629199124
M02,normalized_scores,0.000999000999000999,0.4651062813287682
M02,normalized_ranks,0.004995004995004995,0.8222887073825156
M02,topology_only,0.000999000999000999,0.4651062813287682
T75,normalized_scores,0.000999000999000999,0.4651062813287682
T75,normalized_ranks,0.000999000999000999,0.4651062813287682
T75,topology_only,1.0,1.0
L30,normalized_scores,0.993006993006993,1.0
L30,normalized_ranks,1.0,1.0
L30,topology_only,1.0,1.0
L88,normalized_scores,0.06393606393606394,0.9999999234813454
L88,normalized_ranks,0.3726273726273726,1.0
L88,topology_only,1.0,1.0
H19,normalized_scores,0.07992007992007992,0.9999999980859283
H19,normalized_ranks,0.2757242757242757,1.0
H19,topology_only,0.13986013986013987,1.0
F91,normalized_scores,0.08491508491508491,0.9999999992648925
F91,normalized_ranks,0.2217782217782218,1.0
F91,topology_only,0.23076923076923078,1.0
H35,normalized_scores,0.000999000999000999,0.4651062813287682
H35,normalized_ranks,0.000999000999000999,0.4651062813287682
H35,topology_only,0.000999000999000999,0.4651062813287682
H00,normalized_scores,0.6343656343656343,1.0
H00,normalized_ranks,0.26373626373626374,1.0
H00,topology_only,0.7252747252747253,1.0
C55,normalized_scores,0.03696303696303696,0.9999586655349373
C55,normalized_ranks,0.48451548451548454,1.0
C55,topology_only,0.3936063936063936,1.0
C90,normalized_scores,0.7892107892107892,1.0
C90,normalized_ranks,0.5514485514485514,1.0
C90,topology_only,0.996003996003996,1.0
E75,normalized_scores,0.000999000999000999,0.4651062813287682
E75,normalized_ranks,0.000999000999000999,0.4651062813287682
E75,topology_only,0.002997002997002997,0.7156728475556131
G01,normalized_scores,0.000999000999000999,0.4651062813287682
G01,normalized_ranks,0.000999000999000999,0.4651062813287682
G01,topology_only,0.002997002997002997,0.7156728475556131
B08,normalized_scores,0.12487512487512488,0.9999999999998425
B08,normalized_ranks,0.00999000999000999,0.9636034338426799
B08,topology_only,0.2867132867132867,1.0
C57,normalized_scores,0.3036963036963037,1.0
C57,normalized_ranks,0.46253746253746253,1.0
C57,topology_only,0.7262737262737263,1.0
E50,normalized_scores,0.8081918081918081,1.0
E50,normalized_ranks,0.9020979020979021,1.0
E50,topology_only,0.97002997002997,1.0
H20,normalized_scores,0.7212787212787213,1.0
H20,normalized_ranks,0.8371628371628371,1.0
H20,topology_only,0.975024975024975,1.0
H02,normalized_scores,0.993006993006993,1.0
H02,normalized_ranks,0.994005994005994,1.0
H02,topology_only,0.999000999000999,1.0
K74,normalized_scores,0.000999000999000999,0.4651062813287682
K74,normalized_ranks,0.000999000999000999,0.4651062813287682
K74,topology_only,0.03496503496503497,0.9999980904628746
