node,distance_type,p_value,adjusted_p_value
umls.C0016667,normalized_scores,0.12987012987012986,1.0
umls.C0016667,normalized_ranks,0.3966033966033966,1.0
umls.C0016667,topology_only,0.08091908091908091,1.0
umls.C2973725,normalized_scores,0.08891108891108891,1.0
umls.C2973725,normalized_ranks,0.002997002997002997,0.9085714872969223
umls.C2973725,topology_only,0.21178821178821178,1.0
umls.C0020538,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0020538,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0020538,topology_only,0.000999000999000999,0.6282394555746471
umls.C0392525,normalized_scores,0.004995004995004995,0.9819756638872422
umls.C0392525,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0392525,topology_only,0.01098901098901099,0.9998551582729467
umls.C0206138,normalized_scores,0.6873126873126874,1.0
umls.C0206138,normalized_ranks,0.8381618381618382,1.0
umls.C0206138,topology_only,0.16683316683316685,1.0
umls.C0007760,normalized_scores,0.014985014985014986,0.9999884533338603
umls.C0007760,normalized_ranks,0.026973026973026972,0.9999999967693585
umls.C0007760,topology_only,0.02097902097902098,0.9999999187471461
umls.C0016412,normalized_scores,0.061938061938061936,1.0
umls.C0016412,normalized_ranks,0.8551448551448552,1.0
umls.C0016412,topology_only,0.02197802197802198,0.9999999621483849
umls.C0035220,normalized_scores,0.8891108891108891,1.0
umls.C0035220,normalized_ranks,0.9470529470529471,1.0
umls.C0035220,topology_only,0.962037962037962,1.0
umls.C0008370,normalized_scores,0.2707292707292707,1.0
umls.C0008370,normalized_ranks,0.41058941058941056,1.0
umls.C0008370,topology_only,0.7602397602397603,1.0
umls.C0031039,normalized_scores,0.6963036963036963,1.0
umls.C0031039,normalized_ranks,1.0,1.0
umls.C0031039,topology_only,0.5254745254745254,1.0
umls.C0022568,normalized_scores,0.36563436563436563,1.0
umls.C0022568,normalized_ranks,0.9000999000999002,1.0
umls.C0022568,topology_only,0.36163836163836166,1.0
umls.C0004245,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0004245,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0004245,topology_only,0.000999000999000999,0.6282394555746471
umls.C0036992,normalized_scores,0.99000999000999,1.0
umls.C0036992,normalized_ranks,0.16883116883116883,1.0
umls.C0036992,topology_only,1.0,1.0
umls.C0016719,normalized_scores,0.954045954045954,1.0
umls.C0016719,normalized_ranks,0.998001998001998,1.0
umls.C0016719,topology_only,0.9660339660339661,1.0
umls.C0037274,normalized_scores,0.1048951048951049,1.0
umls.C0037274,normalized_ranks,0.5484515484515484,1.0
umls.C0037274,topology_only,0.22477522477522477,1.0
umls.C0020179,normalized_scores,0.34065934065934067,1.0
umls.C0020179,normalized_ranks,0.44155844155844154,1.0
umls.C0020179,topology_only,0.6013986013986014,1.0
umls.C0034067,normalized_scores,0.007992007992007992,0.998055521925531
umls.C0034067,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0034067,topology_only,0.03396603396603397,0.9999999999931712
umls.C2047520,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C2047520,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C2047520,topology_only,0.002997002997002997,0.9229486784264607
umls.C0035021,normalized_scores,0.984015984015984,1.0
umls.C0035021,normalized_ranks,1.0,1.0
umls.C0035021,topology_only,1.0,1.0
umls.C1275126,normalized_scores,0.34065934065934067,1.0
umls.C1275126,normalized_ranks,0.22777222777222778,1.0
umls.C1275126,topology_only,0.3386613386613387,1.0
umls.C0035235,normalized_scores,0.5824175824175825,1.0
umls.C0035235,normalized_ranks,0.7972027972027972,1.0
umls.C0035235,topology_only,0.4405594405594406,1.0
umls.C0035334,normalized_scores,0.5034965034965035,1.0
umls.C0035334,normalized_ranks,0.17682317682317683,1.0
umls.C0035334,topology_only,0.45454545454545453,1.0
umls.C0016053,normalized_scores,0.4155844155844156,1.0
umls.C0016053,normalized_ranks,0.994005994005994,1.0
umls.C0016053,topology_only,0.5374625374625375,1.0
umls.C0948089,normalized_scores,0.002997002997002997,0.9144137774302684
umls.C0948089,normalized_ranks,0.001998001998001998,0.803678281141671
umls.C0948089,topology_only,0.006993006993006993,0.9968533823116242
umls.C0206245,normalized_scores,0.8951048951048951,1.0
umls.C0206245,normalized_ranks,0.994005994005994,1.0
umls.C0206245,topology_only,1.0,1.0
umls.C0023343,normalized_scores,0.6953046953046953,1.0
umls.C0023343,normalized_ranks,0.945054945054945,1.0
umls.C0023343,topology_only,0.6933066933066933,1.0
umls.C0029883,normalized_scores,1.0,1.0
umls.C0029883,normalized_ranks,0.998001998001998,1.0
umls.C0029883,topology_only,1.0,1.0
umls.C0238190,normalized_scores,0.6683316683316683,1.0
umls.C0238190,normalized_ranks,0.994005994005994,1.0
umls.C0238190,topology_only,0.13286713286713286,1.0
umls.C0268579,normalized_scores,0.6323676323676324,1.0
umls.C0268579,normalized_ranks,0.7352647352647352,1.0
umls.C0268579,topology_only,1.0,1.0
umls.C0152136,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0152136,normalized_ranks,0.08691308691308691,1.0
umls.C0152136,topology_only,0.000999000999000999,0.6282394555746471
umls.C0007194,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0007194,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0007194,topology_only,0.000999000999000999,0.6282394555746471
umls.C0003872,normalized_scores,0.006993006993006993,0.9960611435057074
umls.C0003872,normalized_ranks,0.03896103896103896,0.9999999999991022
umls.C0003872,topology_only,0.014985014985014986,0.9999929843123537
umls.C0028754,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0028754,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0028754,topology_only,0.000999000999000999,0.6282394555746471
umls.C0035369,normalized_scores,1.0,1.0
umls.C0035369,normalized_ranks,1.0,1.0
umls.C0035369,topology_only,1.0,1.0
umls.C0037052,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0037052,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0037052,topology_only,0.000999000999000999,0.6282394555746471
umls.C0019156,normalized_scores,0.00999000999000999,0.9995565601511204
umls.C0019156,normalized_ranks,0.05194805194805195,0.9999999999999998
umls.C0019156,topology_only,0.00999000999000999,0.9996941566325367
umls.C0041105,normalized_scores,0.6713286713286714,1.0
umls.C0041105,normalized_ranks,0.975024975024975,1.0
umls.C0041105,topology_only,0.6833166833166833,1.0
umls.C0003507,normalized_scores,0.1918081918081918,1.0
umls.C0003507,normalized_ranks,0.4775224775224775,1.0
umls.C0003507,topology_only,0.1968031968031968,1.0
umls.C0598608,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0598608,normalized_ranks,0.35864135864135865,1.0
umls.C0598608,topology_only,0.000999000999000999,0.6282394555746471
umls.C0013504,normalized_scores,0.5544455544455544,1.0
umls.C0013504,normalized_ranks,0.4225774225774226,1.0
umls.C0013504,topology_only,0.0959040959040959,1.0
umls.C0026848,normalized_scores,0.004995004995004995,0.9819756638872422
umls.C0026848,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0026848,topology_only,0.08391608391608392,1.0
umls.C0020598,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0020598,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0020598,topology_only,0.000999000999000999,0.6282394555746471
umls.C0085083,normalized_scores,0.5904095904095904,1.0
umls.C0085083,normalized_ranks,0.8351648351648352,1.0
umls.C0085083,topology_only,0.6243756243756243,1.0
umls.C0852036,normalized_scores,0.000999000999000999,0.6282394555746471
umls.C0852036,normalized_ranks,0.000999000999000999,0.6282394555746471
umls.C0852036,topology_only,0.000999000999000999,0.6282394555746471
umls.C0022340,normalized_scores,0.6463536463536463,1.0
