node,distance_type,p_value,adjusted_p_value
M40,topology_only,0.06293706293706294,0.9999999999999832
M40,normalized_ranks,1.0,1.0
M40,normalized_scores,0.5274725274725275,1.0
K44,topology_only,0.004995004995004995,0.9535607754820397
K44,normalized_ranks,0.000999000999000999,0.4906718246121442
K44,normalized_scores,0.000999000999000999,0.4906718246121442
P75,topology_only,0.37462537462537465,1.0
P75,normalized_ranks,0.08691308691308691,0.9999999999999589
P75,normalized_scores,0.16883116883116883,1.0
E85,topology_only,0.5134865134865135,1.0
E85,normalized_ranks,0.5514485514485514,1.0
E85,normalized_scores,0.5904095904095904,1.0
Q92,topology_only,0.08091908091908091,1.0
Q92,normalized_ranks,0.000999000999000999,0.4906718246121442
Q92,normalized_scores,0.8271728271728271,1.0
D13,topology_only,0.3256743256743257,1.0
D13,normalized_ranks,0.000999000999000999,0.4906718246121442
D13,normalized_scores,0.14685314685314685,1.0
P35,topology_only,0.9150849150849151,1.0
P35,normalized_ranks,1.0,1.0
P35,normalized_scores,0.973026973026973,1.0
P59,topology_only,0.1938061938061938,1.0
P59,normalized_ranks,0.000999000999000999,0.4906718246121442
P59,normalized_scores,0.059940059940059943,0.9999999999963334
Q42,topology_only,0.7372627372627373,1.0
Q42,normalized_ranks,0.5654345654345654,1.0
Q42,normalized_scores,0.6293706293706294,1.0
O14,topology_only,0.08591408591408592,1.0
O14,normalized_ranks,0.14285714285714285,1.0
O14,normalized_scores,0.05194805194805195,0.9999999999207844
E28,topology_only,0.9440559440559441,1.0
E28,normalized_ranks,0.998001998001998,1.0
E28,normalized_scores,0.938061938061938,1.0
G20,topology_only,0.24675324675324675,1.0
G20,normalized_ranks,0.06893106893106893,0.9999999999839425
G20,normalized_scores,0.16883116883116883,1.0
L56,topology_only,0.17582417582417584,1.0
L56,normalized_ranks,0.000999000999000999,0.4906718246121442
L56,normalized_scores,0.000999000999000999,0.4906718246121442
C61,topology_only,0.6863136863136863,1.0
C61,normalized_ranks,0.994005994005994,1.0
C61,normalized_scores,0.25874125874125875,1.0
C41,topology_only,0.5374625374625375,1.0
C41,normalized_ranks,0.2177822177822178,1.0
C41,normalized_scores,0.2907092907092907,1.0
B55,topology_only,0.000999000999000999,0.4906718246121442
B55,normalized_ranks,0.000999000999000999,0.4906718246121442
B55,normalized_scores,0.000999000999000999,0.4906718246121442
Q75,topology_only,0.15284715284715283,1.0
Q75,normalized_ranks,0.000999000999000999,0.4906718246121442
Q75,normalized_scores,0.25574425574425574,1.0
