node,distance_type,p_value,adjusted_p_value
umls.C1850554,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C1850554,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C1850554,topology_only,0.02097902097902098,1.0
umls.C4015512,normalized_scores,1.0,1.0
umls.C4015512,normalized_ranks,1.0,1.0
umls.C4015512,topology_only,1.0,1.0
umls.C1854896,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C1854896,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C1854896,topology_only,1.0,1.0
umls.C4084822,normalized_scores,0.001998001998001998,0.9967916609767623
umls.C4084822,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C4084822,topology_only,1.0,1.0
umls.C3888099,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C3888099,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C3888099,topology_only,0.3516483516483517,1.0
umls.C0033845,normalized_scores,1.0,1.0
umls.C0033845,normalized_ranks,1.0,1.0
umls.C0033845,topology_only,1.0,1.0
umls.C3281234,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C3281234,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C3281234,topology_only,1.0,1.0
umls.C4748283,normalized_scores,0.002997002997002997,0.9997720078575394
umls.C4748283,normalized_ranks,0.913086913086913,1.0
umls.C4748283,topology_only,1.0,1.0
umls.C2751092,normalized_scores,0.13286713286713286,1.0
umls.C2751092,normalized_ranks,0.999000999000999,1.0
umls.C2751092,topology_only,1.0,1.0
umls.C4014962,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C4014962,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C4014962,topology_only,1.0,1.0
umls.C1833296,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C1833296,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C1833296,topology_only,1.0,1.0
umls.C1843183,normalized_scores,0.3516483516483517,1.0
umls.C1843183,normalized_ranks,0.002997002997002997,0.9998893968088702
umls.C1843183,topology_only,0.001998001998001998,0.9998079976319979
umls.C4748984,normalized_scores,0.8071928071928072,1.0
umls.C4748984,normalized_ranks,1.0,1.0
umls.C4748984,topology_only,1.0,1.0
umls.C3279843,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C3279843,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C3279843,topology_only,0.33166833166833165,1.0
umls.C4225199,normalized_scores,0.984015984015984,1.0
umls.C4225199,normalized_ranks,1.0,1.0
umls.C4225199,topology_only,1.0,1.0
umls.C1846722,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C1846722,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C1846722,topology_only,0.15584415584415584,1.0
umls.C3887494,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C3887494,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C3887494,topology_only,0.000999000999000999,0.9892056886362718
umls.C1848534,normalized_scores,0.13586413586413587,1.0
umls.C1848534,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C1848534,topology_only,1.0,1.0
umls.C0035528,normalized_scores,0.15184815184815184,1.0
umls.C0035528,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C0035528,topology_only,0.7132867132867133,1.0
umls.C3554182,normalized_scores,1.0,1.0
umls.C3554182,normalized_ranks,1.0,1.0
umls.C3554182,topology_only,0.03296703296703297,1.0
umls.C2677879,normalized_scores,1.0,1.0
umls.C2677879,normalized_ranks,1.0,1.0
umls.C2677879,topology_only,1.0,1.0
umls.C3150879,normalized_scores,1.0,1.0
umls.C3150879,normalized_ranks,1.0,1.0
umls.C3150879,topology_only,0.03596403596403597,1.0
umls.C0342793,normalized_scores,1.0,1.0
umls.C0342793,normalized_ranks,1.0,1.0
umls.C0342793,topology_only,1.0,1.0
umls.C4310656,normalized_scores,1.0,1.0
umls.C4310656,normalized_ranks,1.0,1.0
umls.C4310656,topology_only,0.3436563436563437,1.0
umls.C4014291,normalized_scores,1.0,1.0
umls.C4014291,normalized_ranks,1.0,1.0
umls.C4014291,topology_only,1.0,1.0
umls.C2677586,normalized_scores,0.988011988011988,1.0
umls.C2677586,normalized_ranks,1.0,1.0
umls.C2677586,topology_only,0.012987012987012988,1.0
umls.C0796093,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C0796093,normalized_ranks,0.000999000999000999,0.9892056886362718
umls.C0796093,topology_only,0.005994005994005994,0.9999999999853997
umls.C4310716,normalized_scores,1.0,1.0
umls.C4310716,normalized_ranks,1.0,1.0
umls.C4310716,topology_only,0.6573426573426573,1.0
umls.C3809210,normalized_scores,0.000999000999000999,0.9892056886362718
umls.C3809210,normalized_ranks,0.5524475524475524,1.0
umls.C3809210,topology_only,1.0,1.0
umls.C2750091,normalized_scores,1.0,1.0
umls.C2750091,normalized_ranks,1.0,1.0
umls.C2750091,topology_only,0.001998001998001998,0.9998079976319979
umls.C3714941,normalized_scores,0.001998001998001998,0.9967916609767623
