node,distance_type,p_value,adjusted_p_value
drugbank.DB02701,topology_only,0.8921078921078921,1.0
G44,topology_only,0.12987012987012986,1.0
drugbank.DB00368,topology_only,0.991008991008991,1.0
drugbank.DB01309,topology_only,1.0,1.0
drugbank.DB04931,topology_only,1.0,1.0
drugbank.DB00631,topology_only,1.0,1.0
drugbank.DB00201,topology_only,0.9660339660339661,1.0
G92,topology_only,0.36663336663336665,1.0
drugbank.DB01352,topology_only,0.4175824175824176,1.0
E66,topology_only,0.949050949050949,1.0
drugbank.DB00908,topology_only,0.973026973026973,1.0
drugbank.DB00269,topology_only,0.1838161838161838,1.0
E30,topology_only,0.27172827172827174,1.0
drugbank.DB07477,topology_only,1.0,1.0
drugbank.DB00722,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB00699,topology_only,1.0,1.0
drugbank.DB00847,topology_only,1.0,1.0
drugbank.DB00981,topology_only,0.6783216783216783,1.0
E25,topology_only,1.0,1.0
drugbank.DB00352,topology_only,0.6583416583416584,1.0
M01,topology_only,1.0,1.0
drugbank.DB06393,topology_only,1.0,1.0
N11,topology_only,1.0,1.0
drugbank.DB09211,topology_only,1.0,1.0
drugbank.DB00331,topology_only,0.35864135864135865,1.0
drugbank.DB01115,topology_only,0.5094905094905094,1.0
C22,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB11793,topology_only,1.0,1.0
drugbank.DB01359,topology_only,0.016983016983016984,0.9999999999979773
drugbank.DB08880,topology_only,0.8901098901098901,1.0
drugbank.DB01144,topology_only,1.0,1.0
drugbank.DB11945,topology_only,1.0,1.0
drugbank.DB09230,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB00511,topology_only,0.26073926073926074,1.0
drugbank.DB00262,topology_only,1.0,1.0
drugbank.DB06153,topology_only,1.0,1.0
drugbank.DB00405,topology_only,0.024975024975024976,1.0
drugbank.DB01295,topology_only,0.024975024975024976,1.0
drugbank.DB00637,topology_only,0.995004995004995,1.0
D64,topology_only,0.001998001998001998,0.9637023074313656
drugbank.DB09241,topology_only,0.7612387612387612,1.0
drugbank.DB00800,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB04576,topology_only,1.0,1.0
drugbank.DB00392,topology_only,0.44755244755244755,1.0
drugbank.DB01177,topology_only,0.989010989010989,1.0
drugbank.DB00205,topology_only,1.0,1.0
drugbank.DB00373,topology_only,0.7322677322677322,1.0
drugbank.DB00768,topology_only,0.08691308691308691,1.0
drugbank.DB00909,topology_only,0.04495504495504495,1.0
drugbank.DB01242,topology_only,0.14985014985014986,1.0
D75,topology_only,1.0,1.0
C15,topology_only,1.0,1.0
drugbank.DB01167,topology_only,0.991008991008991,1.0
drugbank.DB01283,topology_only,1.0,1.0
R27,topology_only,1.0,1.0
drugbank.DB01260,topology_only,1.0,1.0
drugbank.DB00187,topology_only,1.0,1.0
G64,topology_only,0.4875124875124875,1.0
drugbank.DB08980,topology_only,1.0,1.0
drugbank.DB13926,topology_only,1.0,1.0
drugbank.DB00922,topology_only,1.0,1.0
L40,topology_only,0.06293706293706294,1.0
B67,topology_only,1.0,1.0
G98,topology_only,0.17582417582417584,1.0
drugbank.DB00850,topology_only,0.001998001998001998,0.9637023074313656
drugbank.DB04840,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB00794,topology_only,0.06793206793206794,1.0
G00,topology_only,0.6333666333666333,1.0
drugbank.DB00830,topology_only,1.0,1.0
K13,topology_only,1.0,1.0
C95,topology_only,0.07892107892107893,1.0
drugbank.DB09369,topology_only,0.1928071928071928,1.0
drugbank.DB00625,topology_only,1.0,1.0
drugbank.DB01580,topology_only,0.17782217782217782,1.0
M19,topology_only,0.056943056943056944,1.0
drugbank.DB12789,topology_only,1.0,1.0
D84,topology_only,0.7222777222777222,1.0
drugbank.DB05521,topology_only,1.0,1.0
drugbank.DB05311,topology_only,1.0,1.0
drugbank.DB00227,topology_only,0.8171828171828172,1.0
G31,topology_only,0.027972027972027972,1.0
E22,topology_only,0.12987012987012986,1.0
drugbank.DB01270,topology_only,0.054945054945054944,1.0
drugbank.DB01084,topology_only,1.0,1.0
T57,topology_only,1.0,1.0
drugbank.DB00790,topology_only,0.000999000999000999,0.8301965336309518
H16,topology_only,1.0,1.0
drugbank.DB00634,topology_only,1.0,1.0
drugbank.DB00972,topology_only,0.7732267732267732,1.0
drugbank.DB01433,topology_only,1.0,1.0
drugbank.DB11742,topology_only,0.8461538461538461,1.0
drugbank.DB00279,topology_only,0.6133866133866134,1.0
drugbank.DB00700,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB00707,topology_only,1.0,1.0
I46,topology_only,0.42157842157842157,1.0
drugbank.DB08885,topology_only,0.26173826173826176,1.0
drugbank.DB05295,topology_only,1.0,1.0
drugbank.DB01232,topology_only,1.0,1.0
B51,topology_only,0.03796203796203796,1.0
drugbank.DB01171,topology_only,0.0999000999000999,1.0
drugbank.DB11948,topology_only,1.0,1.0
drugbank.DB06786,topology_only,1.0,1.0
I49,topology_only,0.007992007992007992,0.9999974685774075
drugbank.DB08059,topology_only,0.16883116883116883,1.0
drugbank.DB00432,topology_only,0.42857142857142855,1.0
drugbank.DB08838,topology_only,1.0,1.0
drugbank.DB00320,topology_only,1.0,1.0
drugbank.DB00207,topology_only,1.0,1.0
drugbank.DB00528,topology_only,0.000999000999000999,0.8301965336309518
drugbank.DB00503,topology_only,0.7822177822177823,1.0
drugbank.DB00446,topology_only,1.0,1.0
drugbank.DB11817,topology_only,0.029970029970029972,1.0
drugbank.DB00918,topology_only,1.0,1.0
drugbank.DB00735,topology_only,1.0,1.0
drugbank.DB00134,topology_only,0.9110889110889111,1.0
drugbank.DB01351,topology_only,0.057942057942057944,1.0
drugbank.DB00947,topology_only,0.3006993006993007,1.0
