node	distance_type	p_value	adjusted_p_value
G44	topology_only	0.1298701298701298	1.0
G92	topology_only	0.3666333666333666	1.0
E66	topology_only	0.949050949050949	1.0
E30	topology_only	0.2717282717282717	1.0
E25	topology_only	1.0	1.0
M01	topology_only	1.0	1.0
N11	topology_only	1.0	1.0
C22	topology_only	0.0009990009990009	0.8301965336309518
D64	topology_only	0.0019980019980019	0.9637023074313656
D75	topology_only	1.0	1.0
C15	topology_only	1.0	1.0
R27	topology_only	1.0	1.0
G64	topology_only	0.4875124875124875	1.0
L40	topology_only	0.0629370629370629	1.0
B67	topology_only	1.0	1.0
G98	topology_only	0.1758241758241758	1.0
G00	topology_only	0.6333666333666333	1.0
K13	topology_only	1.0	1.0
C95	topology_only	0.0789210789210789	1.0
M19	topology_only	0.0569430569430569	1.0
D84	topology_only	0.7222777222777222	1.0
G31	topology_only	0.0279720279720279	1.0
E22	topology_only	0.1298701298701298	1.0
T57	topology_only	1.0	1.0
H16	topology_only	1.0	1.0
I46	topology_only	0.4215784215784215	1.0
B51	topology_only	0.0379620379620379	1.0
I49	topology_only	0.0079920079920079	0.9999974685774076
Q28	topology_only	1.0	1.0
N32	topology_only	0.949050949050949	1.0
E26	topology_only	0.0119880119880119	0.9999999953019196
G70	topology_only	0.0059940059940059	0.9999381879331743
N16	topology_only	1.0	1.0
C25	topology_only	1.0	1.0
C26	topology_only	0.0259740259740259	1.0
I73	topology_only	0.0059940059940059	0.9999381879331743
G02	topology_only	0.1478521478521478	1.0
M81	topology_only	1.0	1.0
J13	topology_only	1.0	1.0
L85	topology_only	1.0	1.0
Q73	topology_only	1.0	1.0
E88	topology_only	0.3036963036963037	1.0
L23	topology_only	0.1588411588411588	1.0
E70	topology_only	0.0009990009990009	0.8301965336309518
K70	topology_only	0.2457542457542457	1.0
A30	topology_only	1.0	1.0
G46	topology_only	0.1188811188811188	1.0
B53	topology_only	0.0399600399600399	1.0
C96	topology_only	0.0209790209790209	0.9999999999999952
G80	topology_only	0.3516483516483517	1.0
Q82	topology_only	1.0	1.0
