node	distance_type	p_value	adjusted_p_value
drugbank.DB02701	topology_only	0.8921078921078921	1.0
drugbank.DB00368	topology_only	0.991008991008991	1.0
drugbank.DB01309	topology_only	1.0	1.0
drugbank.DB04931	topology_only	1.0	1.0
drugbank.DB00631	topology_only	1.0	1.0
drugbank.DB00201	topology_only	0.966033966033966	1.0
drugbank.DB01352	topology_only	0.4175824175824176	1.0
drugbank.DB00908	topology_only	0.973026973026973	1.0
drugbank.DB00269	topology_only	0.1838161838161838	1.0
drugbank.DB07477	topology_only	1.0	1.0
drugbank.DB00722	topology_only	0.0009990009990009	0.8301965336309518
drugbank.DB00699	topology_only	1.0	1.0
drugbank.DB00847	topology_only	1.0	1.0
drugbank.DB00981	topology_only	0.6783216783216783	1.0
drugbank.DB00352	topology_only	0.6583416583416584	1.0
drugbank.DB06393	topology_only	1.0	1.0
drugbank.DB09211	topology_only	1.0	1.0
drugbank.DB00331	topology_only	0.3586413586413586	1.0
drugbank.DB01115	topology_only	0.5094905094905094	1.0
drugbank.DB11793	topology_only	1.0	1.0
drugbank.DB01359	topology_only	0.0169830169830169	0.9999999999979772
drugbank.DB08880	topology_only	0.8901098901098901	1.0
drugbank.DB01144	topology_only	1.0	1.0
drugbank.DB11945	topology_only	1.0	1.0
drugbank.DB09230	topology_only	0.0009990009990009	0.8301965336309518
drugbank.DB00511	topology_only	0.2607392607392607	1.0
drugbank.DB00262	topology_only	1.0	1.0
drugbank.DB06153	topology_only	1.0	1.0
drugbank.DB00405	topology_only	0.0249750249750249	1.0
drugbank.DB01295	topology_only	0.0249750249750249	1.0
drugbank.DB00637	topology_only	0.995004995004995	1.0
drugbank.DB09241	topology_only	0.7612387612387612	1.0
drugbank.DB00800	topology_only	0.0009990009990009	0.8301965336309518
drugbank.DB04576	topology_only	1.0	1.0
drugbank.DB00392	topology_only	0.4475524475524475	1.0
drugbank.DB01177	topology_only	0.989010989010989	1.0
drugbank.DB00205	topology_only	1.0	1.0
drugbank.DB00373	topology_only	0.7322677322677322	1.0
drugbank.DB00768	topology_only	0.0869130869130869	1.0
