node,distance_type,p_value,adjusted_p_value
drugbank.DB01433,topology_only,1.0,1.0
drugbank.DB05137,topology_only,1.0,1.0
drugbank.DB00467,topology_only,1.0,1.0
mondo.0019562,topology_only,1.0,1.0
drugbank.DB01007,topology_only,1.0,1.0
drugbank.DB00651,topology_only,1.0,1.0
drugbank.DB00599,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB00219,topology_only,1.0,1.0
drugbank.DB00917,topology_only,1.0,1.0
drugbank.DB00719,topology_only,0.008991008991008992,0.999999989765648
drugbank.DB01411,topology_only,1.0,1.0
drugbank.DB08896,topology_only,0.1018981018981019,1.0
mondo.0001117,topology_only,1.0,1.0
drugbank.DB04880,topology_only,0.06593406593406594,1.0
drugbank.DB00043,topology_only,1.0,1.0
mondo.0006896,topology_only,1.0,1.0
mondo.0006713,topology_only,1.0,1.0
drugbank.DB08893,topology_only,1.0,1.0
mondo.0019338,topology_only,1.0,1.0
drugbank.DB01132,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB00807,topology_only,1.0,1.0
drugbank.DB09245,topology_only,1.0,1.0
drugbank.DB09080,topology_only,1.0,1.0
drugbank.DB09227,topology_only,0.017982017982017984,0.9999999999999997
mondo.0009688,topology_only,1.0,1.0
mondo.0018871,topology_only,1.0,1.0
drugbank.DB13014,topology_only,1.0,1.0
drugbank.DB09286,topology_only,1.0,1.0
drugbank.DB00705,topology_only,1.0,1.0
mondo.0013187,topology_only,1.0,1.0
mondo.0018097,topology_only,0.2707292707292707,1.0
drugbank.DB00385,topology_only,1.0,1.0
drugbank.DB04837,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB01401,topology_only,0.17582417582417584,1.0
drugbank.DB01157,topology_only,1.0,1.0
mondo.0013792,topology_only,1.0,1.0
drugbank.DB00488,topology_only,1.0,1.0
drugbank.DB00254,topology_only,0.42157842157842157,1.0
drugbank.DB00327,topology_only,1.0,1.0
mondo.0006456,topology_only,1.0,1.0
drugbank.DB06403,topology_only,1.0,1.0
drugbank.DB01099,topology_only,1.0,1.0
drugbank.DB00368,topology_only,0.01098901098901099,0.9999999997953294
drugbank.DB00744,topology_only,1.0,1.0
mondo.0005101,topology_only,0.08391608391608392,1.0
mondo.0016013,topology_only,1.0,1.0
drugbank.DB04839,topology_only,0.001998001998001998,0.9861018761855614
drugbank.DB01672,topology_only,0.03996003996003996,1.0
drugbank.DB09019,topology_only,1.0,1.0
drugbank.DB00794,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB04552,topology_only,1.0,1.0
mondo.0007191,topology_only,1.0,1.0
drugbank.DB00336,topology_only,1.0,1.0
drugbank.DB00967,topology_only,0.08291708291708291,1.0
drugbank.DB00502,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB00653,topology_only,0.04695304695304695,1.0
drugbank.DB08871,topology_only,1.0,1.0
mondo.0020598,topology_only,1.0,1.0
mondo.0005191,topology_only,0.6623376623376623,1.0
drugbank.DB00332,topology_only,1.0,1.0
drugbank.DB01170,topology_only,0.04595404595404595,1.0
drugbank.DB00397,topology_only,0.31868131868131866,1.0
mondo.0021085,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB01032,topology_only,1.0,1.0
drugbank.DB13919,topology_only,0.006993006993006993,0.9999994504105219
drugbank.DB06626,topology_only,0.16883116883116883,1.0
drugbank.DB00357,topology_only,0.006993006993006993,0.9999994504105219
drugbank.DB12865,topology_only,1.0,1.0
drugbank.DB00819,topology_only,1.0,1.0
drugbank.DB09343,topology_only,0.016983016983016984,0.9999999999999981
drugbank.DB06216,topology_only,0.07792207792207792,1.0
mondo.0006639,topology_only,0.08691308691308691,1.0
drugbank.DB00175,topology_only,1.0,1.0
mondo.0002474,topology_only,1.0,1.0
drugbank.DB08846,topology_only,0.029970029970029972,1.0
drugbank.DB01356,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB00073,topology_only,1.0,1.0
drugbank.DB00804,topology_only,1.0,1.0
mondo.0011849,topology_only,0.3996003996003996,1.0
drugbank.DB13872,topology_only,1.0,1.0
drugbank.DB02513,topology_only,1.0,1.0
drugbank.DB13166,topology_only,0.06493506493506493,1.0
mondo.0005065,topology_only,0.6343656343656343,1.0
drugbank.DB00122,topology_only,0.1798201798201798,1.0
drugbank.DB00970,topology_only,1.0,1.0
mondo.0005086,topology_only,0.003996003996003996,0.9997725089350605
mondo.0021055,topology_only,0.011988011988011988,0.9999999999717447
drugbank.DB00669,topology_only,1.0,1.0
mondo.0016642,topology_only,0.0939060939060939,1.0
mondo.0005232,topology_only,1.0,1.0
drugbank.DB09071,topology_only,1.0,1.0
drugbank.DB00945,topology_only,0.000999000999000999,0.89299532402506
drugbank.DB01092,topology_only,0.004995004995004995,0.999969738375195
mondo.0005350,topology_only,0.058941058941058944,1.0
drugbank.DB01224,topology_only,0.00999000999000999,0.9999999985351842
mondo.0016264,topology_only,0.18981018981018982,1.0
drugbank.DB00495,topology_only,0.3856143856143856,1.0
mondo.0019623,topology_only,1.0,1.0
mondo.0007739,topology_only,1.0,1.0
mondo.0002125,topology_only,0.22377622377622378,1.0
mondo.0003749,topology_only,1.0,1.0
drugbank.DB01685,topology_only,1.0,1.0
drugbank.DB06230,topology_only,1.0,1.0
mondo.0005996,topology_only,1.0,1.0
mondo.0004985,topology_only,0.000999000999000999,0.89299532402506
mondo.0005859,topology_only,1.0,1.0
drugbank.DB00795,topology_only,0.001998001998001998,0.9861018761855614
drugbank.DB00310,topology_only,0.04695304695304695,1.0
drugbank.DB00973,topology_only,1.0,1.0
drugbank.DB01133,topology_only,1.0,1.0
drugbank.DB01171,topology_only,0.04295704295704296,1.0
drugbank.DB06152,topology_only,1.0,1.0
drugbank.DB00132,topology_only,1.0,1.0
drugbank.DB08837,topology_only,1.0,1.0
drugbank.DB00485,topology_only,1.0,1.0
drugbank.DB00190,topology_only,0.017982017982017984,0.9999999999999997
drugbank.DB00716,topology_only,1.0,1.0
mondo.0008542,topology_only,1.0,1.0
drugbank.DB00334,topology_only,0.08091908091908091,1.0
drugbank.DB00451,topology_only,0.07392607392607392,1.0
mondo.0019056,topology_only,1.0,1.0
drugbank.DB00246,topology_only,0.000999000999000999,0.89299532402506
mondo.0006500,topology_only,1.0,1.0
mondo.0005240,topology_only,0.02097902097902098,1.0
drugbank.DB00366,topology_only,0.03896103896103896,1.0
mondo.0003240,topology_only,1.0,1.0
drugbank.DB00867,topology_only,0.057942057942057944,1.0
mondo.0005365,topology_only,1.0,1.0
drugbank.DB02703,topology_only,1.0,1.0
mondo.0005381,topology_only,1.0,1.0
drugbank.DB00713,topology_only,1.0,1.0
mondo.0001409,topology_only,1.0,1.0
drugbank.DB05521,topology_only,1.0,1.0
mondo.0008420,topology_only,1.0,1.0
drugbank.DB00264,topology_only,0.10589410589410589,1.0
drugbank.DB04924,topology_only,1.0,1.0
drugbank.DB00897,topology_only,1.0,1.0
drugbank.DB01006,topology_only,1.0,1.0
mondo.0001566,topology_only,0.055944055944055944,1.0
mondo.0003785,topology_only,1.0,1.0
drugbank.DB08897,topology_only,1.0,1.0
drugbank.DB01330,topology_only,1.0,1.0
mondo.0007762,topology_only,0.00999000999000999,0.9999999985351842
drugbank.DB05003,topology_only,1.0,1.0
drugbank.DB08875,topology_only,0.011988011988011988,0.9999999999717447
drugbank.DB00518,topology_only,1.0,1.0
mondo.0019433,topology_only,1.0,1.0
mondo.0019391,topology_only,1.0,1.0
mondo.0008433,topology_only,1.0,1.0
drugbank.DB00481,topology_only,0.15984015984015984,1.0
drugbank.DB01084,topology_only,1.0,1.0
drugbank.DB00512,topology_only,1.0,1.0
drugbank.DB00984,topology_only,1.0,1.0
drugbank.DB07477,topology_only,1.0,1.0
drugbank.DB08908,topology_only,1.0,1.0
drugbank.DB04931,topology_only,1.0,1.0
drugbank.DB01103,topology_only,1.0,1.0
drugbank.DB00229,topology_only,1.0,1.0
drugbank.DB00285,topology_only,1.0,1.0
mondo.0005571,topology_only,1.0,1.0
mondo.0005399,topology_only,1.0,1.0
mondo.0018304,topology_only,1.0,1.0
drugbank.DB00507,topology_only,1.0,1.0
drugbank.DB13679,topology_only,0.0959040959040959,1.0
drugbank.DB09389,topology_only,1.0,1.0
mondo.0009025,topology_only,1.0,1.0
mondo.0007008,topology_only,0.5514485514485514,1.0
