node	distance_type	p_value	adjusted_p_value
mondo.0019562	topology_only	1.0	1.0
mondo.0001117	topology_only	1.0	1.0
mondo.0006896	topology_only	1.0	1.0
mondo.0006713	topology_only	1.0	1.0
mondo.0019338	topology_only	1.0	1.0
mondo.0009688	topology_only	1.0	1.0
mondo.0018871	topology_only	1.0	1.0
mondo.0013187	topology_only	1.0	1.0
mondo.0018097	topology_only	0.2707292707292707	1.0
mondo.0013792	topology_only	1.0	1.0
mondo.0006456	topology_only	1.0	1.0
mondo.0005101	topology_only	0.0839160839160839	1.0
mondo.0016013	topology_only	1.0	1.0
mondo.0007191	topology_only	1.0	1.0
mondo.0020598	topology_only	1.0	1.0
mondo.0005191	topology_only	0.6623376623376623	1.0
mondo.0021085	topology_only	0.0009990009990009	0.89299532402506
mondo.0006639	topology_only	0.0869130869130869	1.0
mondo.0002474	topology_only	1.0	1.0
mondo.0011849	topology_only	0.3996003996003996	1.0
mondo.0005065	topology_only	0.6343656343656343	1.0
mondo.0005086	topology_only	0.0039960039960039	0.9997725089350604
mondo.0021055	topology_only	0.0119880119880119	0.9999999999717448
mondo.0016642	topology_only	0.0939060939060939	1.0
mondo.0005232	topology_only	1.0	1.0
mondo.0005350	topology_only	0.0589410589410589	1.0
mondo.0016264	topology_only	0.1898101898101898	1.0
mondo.0019623	topology_only	1.0	1.0
mondo.0007739	topology_only	1.0	1.0
mondo.0002125	topology_only	0.2237762237762237	1.0
mondo.0003749	topology_only	1.0	1.0
mondo.0005996	topology_only	1.0	1.0
mondo.0004985	topology_only	0.0009990009990009	0.89299532402506
mondo.0005859	topology_only	1.0	1.0
mondo.0008542	topology_only	1.0	1.0
mondo.0019056	topology_only	1.0	1.0
mondo.0006500	topology_only	1.0	1.0
mondo.0005240	topology_only	0.0209790209790209	1.0
mondo.0003240	topology_only	1.0	1.0
mondo.0005365	topology_only	1.0	1.0
mondo.0005381	topology_only	1.0	1.0
mondo.0001409	topology_only	1.0	1.0
mondo.0008420	topology_only	1.0	1.0
mondo.0001566	topology_only	0.0559440559440559	1.0
mondo.0003785	topology_only	1.0	1.0
mondo.0007762	topology_only	0.0099900099900099	0.9999999985351842
mondo.0019433	topology_only	1.0	1.0
mondo.0019391	topology_only	1.0	1.0
mondo.0008433	topology_only	1.0	1.0
mondo.0005571	topology_only	1.0	1.0
