node	distance_type	p_value	adjusted_p_value
drugbank.DB01433	topology_only	1.0	1.0
drugbank.DB05137	topology_only	1.0	1.0
drugbank.DB00467	topology_only	1.0	1.0
drugbank.DB01007	topology_only	1.0	1.0
drugbank.DB00651	topology_only	1.0	1.0
drugbank.DB00599	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00219	topology_only	1.0	1.0
drugbank.DB00917	topology_only	1.0	1.0
drugbank.DB00719	topology_only	0.0089910089910089	0.999999989765648
drugbank.DB01411	topology_only	1.0	1.0
drugbank.DB08896	topology_only	0.1018981018981019	1.0
drugbank.DB04880	topology_only	0.0659340659340659	1.0
drugbank.DB00043	topology_only	1.0	1.0
drugbank.DB08893	topology_only	1.0	1.0
drugbank.DB01132	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00807	topology_only	1.0	1.0
drugbank.DB09245	topology_only	1.0	1.0
drugbank.DB09080	topology_only	1.0	1.0
drugbank.DB09227	topology_only	0.0179820179820179	0.9999999999999996
drugbank.DB13014	topology_only	1.0	1.0
drugbank.DB09286	topology_only	1.0	1.0
drugbank.DB00705	topology_only	1.0	1.0
drugbank.DB00385	topology_only	1.0	1.0
drugbank.DB04837	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB01401	topology_only	0.1758241758241758	1.0
drugbank.DB01157	topology_only	1.0	1.0
drugbank.DB00488	topology_only	1.0	1.0
drugbank.DB00254	topology_only	0.4215784215784215	1.0
drugbank.DB00327	topology_only	1.0	1.0
drugbank.DB06403	topology_only	1.0	1.0
drugbank.DB01099	topology_only	1.0	1.0
drugbank.DB00368	topology_only	0.0109890109890109	0.9999999997953294
drugbank.DB00744	topology_only	1.0	1.0
drugbank.DB04839	topology_only	0.0019980019980019	0.9861018761855614
drugbank.DB01672	topology_only	0.0399600399600399	1.0
drugbank.DB09019	topology_only	1.0	1.0
drugbank.DB00794	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB04552	topology_only	1.0	1.0
drugbank.DB00336	topology_only	1.0	1.0
drugbank.DB00967	topology_only	0.0829170829170829	1.0
drugbank.DB00502	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00653	topology_only	0.0469530469530469	1.0
drugbank.DB08871	topology_only	1.0	1.0
drugbank.DB00332	topology_only	1.0	1.0
drugbank.DB01170	topology_only	0.0459540459540459	1.0
drugbank.DB00397	topology_only	0.3186813186813186	1.0
drugbank.DB01032	topology_only	1.0	1.0
drugbank.DB13919	topology_only	0.0069930069930069	0.999999450410522
drugbank.DB06626	topology_only	0.1688311688311688	1.0
drugbank.DB00357	topology_only	0.0069930069930069	0.999999450410522
drugbank.DB12865	topology_only	1.0	1.0
drugbank.DB00819	topology_only	1.0	1.0
drugbank.DB09343	topology_only	0.0169830169830169	0.999999999999998
drugbank.DB06216	topology_only	0.0779220779220779	1.0
drugbank.DB00175	topology_only	1.0	1.0
drugbank.DB08846	topology_only	0.0299700299700299	1.0
drugbank.DB01356	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00073	topology_only	1.0	1.0
drugbank.DB00804	topology_only	1.0	1.0
drugbank.DB13872	topology_only	1.0	1.0
drugbank.DB02513	topology_only	1.0	1.0
drugbank.DB13166	topology_only	0.0649350649350649	1.0
drugbank.DB00122	topology_only	0.1798201798201798	1.0
drugbank.DB00970	topology_only	1.0	1.0
drugbank.DB00669	topology_only	1.0	1.0
drugbank.DB09071	topology_only	1.0	1.0
drugbank.DB00945	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB01092	topology_only	0.0049950049950049	0.999969738375195
drugbank.DB01224	topology_only	0.0099900099900099	0.9999999985351842
drugbank.DB00495	topology_only	0.3856143856143856	1.0
drugbank.DB01685	topology_only	1.0	1.0
drugbank.DB06230	topology_only	1.0	1.0
drugbank.DB00795	topology_only	0.0019980019980019	0.9861018761855614
drugbank.DB00310	topology_only	0.0469530469530469	1.0
drugbank.DB00973	topology_only	1.0	1.0
drugbank.DB01133	topology_only	1.0	1.0
drugbank.DB01171	topology_only	0.0429570429570429	1.0
drugbank.DB06152	topology_only	1.0	1.0
drugbank.DB00132	topology_only	1.0	1.0
drugbank.DB08837	topology_only	1.0	1.0
drugbank.DB00485	topology_only	1.0	1.0
drugbank.DB00190	topology_only	0.0179820179820179	0.9999999999999996
drugbank.DB00716	topology_only	1.0	1.0
drugbank.DB00334	topology_only	0.0809190809190809	1.0
drugbank.DB00451	topology_only	0.0739260739260739	1.0
drugbank.DB00246	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00366	topology_only	0.0389610389610389	1.0
drugbank.DB00867	topology_only	0.0579420579420579	1.0
drugbank.DB02703	topology_only	1.0	1.0
drugbank.DB00713	topology_only	1.0	1.0
drugbank.DB05521	topology_only	1.0	1.0
drugbank.DB00264	topology_only	0.1058941058941058	1.0
drugbank.DB04924	topology_only	1.0	1.0
drugbank.DB00897	topology_only	1.0	1.0
drugbank.DB01006	topology_only	1.0	1.0
drugbank.DB08897	topology_only	1.0	1.0
drugbank.DB01330	topology_only	1.0	1.0
drugbank.DB05003	topology_only	1.0	1.0
drugbank.DB08875	topology_only	0.0119880119880119	0.9999999999717448
drugbank.DB00518	topology_only	1.0	1.0
drugbank.DB00481	topology_only	0.1598401598401598	1.0
drugbank.DB01084	topology_only	1.0	1.0
drugbank.DB00512	topology_only	1.0	1.0
drugbank.DB00984	topology_only	1.0	1.0
drugbank.DB07477	topology_only	1.0	1.0
drugbank.DB08908	topology_only	1.0	1.0
drugbank.DB04931	topology_only	1.0	1.0
drugbank.DB01103	topology_only	1.0	1.0
drugbank.DB00229	topology_only	1.0	1.0
drugbank.DB00285	topology_only	1.0	1.0
drugbank.DB00507	topology_only	1.0	1.0
drugbank.DB13679	topology_only	0.0959040959040959	1.0
drugbank.DB09389	topology_only	1.0	1.0
drugbank.DB01233	topology_only	0.4725274725274725	1.0
drugbank.DB09055	topology_only	1.0	1.0
drugbank.DB05381	topology_only	1.0	1.0
drugbank.DB00641	topology_only	0.6493506493506493	1.0
drugbank.DB00280	topology_only	0.1458541458541458	1.0
drugbank.DB01094	topology_only	1.0	1.0
drugbank.DB00494	topology_only	1.0	1.0
drugbank.DB01108	topology_only	1.0	1.0
drugbank.DB00618	topology_only	1.0	1.0
drugbank.DB03568	topology_only	1.0	1.0
drugbank.DB00750	topology_only	1.0	1.0
drugbank.DB00964	topology_only	1.0	1.0
drugbank.DB01162	topology_only	0.0529470529470529	1.0
drugbank.DB11591	topology_only	0.0119880119880119	0.9999999999717448
drugbank.DB00927	topology_only	1.0	1.0
drugbank.DB00315	topology_only	1.0	1.0
drugbank.DB01071	topology_only	1.0	1.0
drugbank.DB01307	topology_only	1.0	1.0
drugbank.DB00435	topology_only	0.1958041958041958	1.0
drugbank.DB00231	topology_only	1.0	1.0
drugbank.DB13167	topology_only	0.0909090909090909	1.0
drugbank.DB01076	topology_only	1.0	1.0
drugbank.DB11635	topology_only	1.0	1.0
drugbank.DB00401	topology_only	0.0189810189810189	1.0
drugbank.DB00431	topology_only	1.0	1.0
drugbank.DB09345	topology_only	1.0	1.0
drugbank.DB08873	topology_only	1.0	1.0
drugbank.DB00696	topology_only	1.0	1.0
drugbank.DB01001	topology_only	0.0169830169830169	0.999999999999998
drugbank.DB11611	topology_only	1.0	1.0
drugbank.DB04844	topology_only	0.0949050949050949	1.0
drugbank.DB00413	topology_only	0.0599400599400599	1.0
drugbank.DB09324	topology_only	1.0	1.0
drugbank.DB00251	topology_only	1.0	1.0
drugbank.DB08954	topology_only	0.0949050949050949	1.0
drugbank.DB04272	topology_only	1.0	1.0
drugbank.DB00894	topology_only	1.0	1.0
drugbank.DB00224	topology_only	1.0	1.0
drugbank.DB01021	topology_only	0.0609390609390609	1.0
drugbank.DB09552	topology_only	1.0	1.0
drugbank.DB08932	topology_only	1.0	1.0
drugbank.DB00283	topology_only	0.1548451548451548	1.0
drugbank.DB00996	topology_only	1.0	1.0
drugbank.DB00169	topology_only	0.0009990009990009	0.89299532402506
drugbank.DB00800	topology_only	0.0339660339660339	1.0
drugbank.DB00798	topology_only	1.0	1.0
drugbank.DB01154	topology_only	0.0539460539460539	1.0
drugbank.DB00309	topology_only	0.2347652347652347	1.0
drugbank.DB00239	topology_only	1.0	1.0
drugbank.DB09082	topology_only	1.0	1.0
