node,distance_type,p_value,adjusted_p_value
drugbank.DB04953,topology_only,1.0,1.0
drugbank.DB00869,topology_only,1.0,1.0
drugbank.DB01011,topology_only,0.06393606393606394,1.0
drugbank.DB09122,topology_only,1.0,1.0
umls.C0002792,topology_only,1.0,1.0
drugbank.DB09085,topology_only,1.0,1.0
drugbank.DB00692,topology_only,0.1038961038961039,1.0
drugbank.DB01396,topology_only,0.07192807192807193,1.0
umls.C0085129,topology_only,1.0,1.0
drugbank.DB00130,topology_only,1.0,1.0
drugbank.DB06262,topology_only,1.0,1.0
drugbank.DB00424,topology_only,1.0,1.0
drugbank.DB11937,topology_only,1.0,1.0
drugbank.DB00328,topology_only,0.7522477522477522,1.0
drugbank.DB01184,topology_only,0.22777222777222778,1.0
drugbank.DB00635,topology_only,0.8221778221778222,1.0
drugbank.DB01260,topology_only,1.0,1.0
drugbank.DB14754,topology_only,1.0,1.0
umls.C0238052,topology_only,1.0,1.0
drugbank.DB00316,topology_only,0.9270729270729271,1.0
umls.C0085307,topology_only,1.0,1.0
umls.C0236663,topology_only,1.0,1.0
umls.C0005944,topology_only,0.08691308691308691,1.0
drugbank.DB08995,topology_only,0.4145854145854146,1.0
drugbank.DB04828,topology_only,1.0,1.0
drugbank.DB08844,topology_only,1.0,1.0
drugbank.DB01142,topology_only,1.0,1.0
drugbank.DB00928,topology_only,1.0,1.0
drugbank.DB12399,topology_only,1.0,1.0
drugbank.DB08846,topology_only,0.04495504495504495,1.0
drugbank.DB00716,topology_only,1.0,1.0
drugbank.DB14064,topology_only,1.0,1.0
drugbank.DB11094,topology_only,0.000999000999000999,0.9013169689413464
drugbank.DB00798,topology_only,1.0,1.0
drugbank.DB00898,topology_only,0.1878121878121878,1.0
drugbank.DB01124,topology_only,0.17382617382617382,1.0
drugbank.DB09019,topology_only,1.0,1.0
umls.C0014550,topology_only,0.003996003996003996,0.9998631888134668
drugbank.DB00845,topology_only,1.0,1.0
umls.C0162316,topology_only,0.000999000999000999,0.9013169689413464
umls.C0009398,topology_only,1.0,1.0
drugbank.DB00806,topology_only,0.44955044955044954,1.0
drugbank.DB00092,topology_only,1.0,1.0
umls.C0008312,topology_only,1.0,1.0
umls.C0242339,topology_only,0.000999000999000999,0.9013169689413464
umls.C0020479,topology_only,1.0,1.0
drugbank.DB01167,topology_only,1.0,1.0
drugbank.DB01223,topology_only,0.7642357642357642,1.0
drugbank.DB13166,topology_only,0.14285714285714285,1.0
drugbank.DB00863,topology_only,0.8771228771228772,1.0
drugbank.DB14512,topology_only,1.0,1.0
drugbank.DB01043,topology_only,0.34865134865134867,1.0
umls.C0003869,topology_only,1.0,1.0
umls.C0085423,topology_only,1.0,1.0
drugbank.DB06154,topology_only,1.0,1.0
drugbank.DB01327,topology_only,1.0,1.0
drugbank.DB00012,topology_only,1.0,1.0
drugbank.DB01225,topology_only,0.000999000999000999,0.9013169689413464
umls.C0393593,topology_only,1.0,1.0
drugbank.DB00502,topology_only,0.003996003996003996,0.9998631888134668
drugbank.DB00368,topology_only,0.22477522477522477,1.0
drugbank.DB06343,topology_only,1.0,1.0
drugbank.DB00204,topology_only,0.02197802197802198,1.0
drugbank.DB00994,topology_only,0.5924075924075924,1.0
umls.C0149931,topology_only,0.000999000999000999,0.9013169689413464
drugbank.DB01626,topology_only,1.0,1.0
drugbank.DB00371,topology_only,1.0,1.0
drugbank.DB11611,topology_only,1.0,1.0
drugbank.DB01235,topology_only,0.006993006993006993,0.9999997898620664
drugbank.DB12412,topology_only,1.0,1.0
drugbank.DB08626,topology_only,1.0,1.0
umls.C0032708,topology_only,1.0,1.0
umls.C0949804,topology_only,1.0,1.0
drugbank.DB00203,topology_only,1.0,1.0
drugbank.DB13064,topology_only,1.0,1.0
drugbank.DB00139,topology_only,1.0,1.0
drugbank.DB00197,topology_only,0.005994005994005994,0.9999981869149253
drugbank.DB00641,topology_only,0.35864135864135865,1.0
drugbank.DB01333,topology_only,1.0,1.0
umls.C0243026,topology_only,0.17382617382617382,1.0
drugbank.DB01199,topology_only,0.27472527472527475,1.0
drugbank.DB00887,topology_only,0.15684315684315683,1.0
drugbank.DB01592,topology_only,0.5114885114885115,1.0
drugbank.DB11591,topology_only,0.03496503496503497,1.0
drugbank.DB08841,topology_only,1.0,1.0
umls.C1955869,topology_only,1.0,1.0
