node	distance_type	p_value	adjusted_p_value
umls.C0002792	topology_only	1.0	1.0
umls.C0085129	topology_only	1.0	1.0
umls.C0238052	topology_only	1.0	1.0
umls.C0085307	topology_only	1.0	1.0
umls.C0236663	topology_only	1.0	1.0
umls.C0005944	topology_only	0.0869130869130869	1.0
umls.C0014550	topology_only	0.0039960039960039	0.9998631888134668
umls.C0162316	topology_only	0.0009990009990009	0.9013169689413464
umls.C0009398	topology_only	1.0	1.0
umls.C0008312	topology_only	1.0	1.0
umls.C0242339	topology_only	0.0009990009990009	0.9013169689413464
umls.C0020479	topology_only	1.0	1.0
umls.C0003869	topology_only	1.0	1.0
umls.C0085423	topology_only	1.0	1.0
umls.C0393593	topology_only	1.0	1.0
umls.C0149931	topology_only	0.0009990009990009	0.9013169689413464
umls.C0032708	topology_only	1.0	1.0
umls.C0949804	topology_only	1.0	1.0
umls.C0243026	topology_only	0.1738261738261738	1.0
umls.C1955869	topology_only	1.0	1.0
umls.C0574960	topology_only	1.0	1.0
umls.C0019372	topology_only	1.0	1.0
umls.C0026706	topology_only	1.0	1.0
umls.C0008372	topology_only	0.1658341658341658	1.0
umls.C0267963	topology_only	1.0	1.0
umls.C0003460	topology_only	1.0	1.0
umls.C0004775	topology_only	1.0	1.0
umls.C0520459	topology_only	0.0269730269730269	1.0
umls.C0017601	topology_only	1.0	1.0
umls.C4316899	topology_only	1.0	1.0
umls.C0024143	topology_only	1.0	1.0
umls.C0162568	topology_only	1.0	1.0
umls.C0162836	topology_only	1.0	1.0
umls.C0017531	topology_only	0.0129870129870129	0.9999999999994014
umls.C0014548	topology_only	0.0099900099900099	0.999999999651468
umls.C0085096	topology_only	1.0	1.0
umls.C0155862	topology_only	1.0	1.0
umls.C0035242	topology_only	1.0	1.0
umls.C0017919	topology_only	1.0	1.0
umls.C0007194	topology_only	0.0009990009990009	0.9013169689413464
umls.C0014804	topology_only	0.0009990009990009	0.9013169689413464
umls.C0019572	topology_only	1.0	1.0
umls.C0002726	topology_only	0.1768231768231768	1.0
umls.C0878773	topology_only	1.0	1.0
umls.C0524988	topology_only	1.0	1.0
umls.C0149940	topology_only	1.0	1.0
umls.C0009324	topology_only	0.2757242757242757	1.0
umls.C0085413	topology_only	1.0	1.0
umls.C0019112	topology_only	0.0389610389610389	1.0
umls.C0034734	topology_only	1.0	1.0
umls.C0018799	topology_only	0.6083916083916084	1.0
umls.C0549567	topology_only	1.0	1.0
umls.C0032001	topology_only	1.0	1.0
umls.C0026847	topology_only	0.0059940059940059	0.9999981869149251
umls.C0019163	topology_only	1.0	1.0
umls.C0035334	topology_only	1.0	1.0
