node	distance_type	p_value	adjusted_p_value
drugbank.DB04953	topology_only	1.0	1.0
drugbank.DB00869	topology_only	1.0	1.0
drugbank.DB01011	topology_only	0.0639360639360639	1.0
drugbank.DB09122	topology_only	1.0	1.0
drugbank.DB09085	topology_only	1.0	1.0
drugbank.DB00692	topology_only	0.1038961038961039	1.0
drugbank.DB01396	topology_only	0.0719280719280719	1.0
drugbank.DB00130	topology_only	1.0	1.0
drugbank.DB06262	topology_only	1.0	1.0
drugbank.DB00424	topology_only	1.0	1.0
drugbank.DB11937	topology_only	1.0	1.0
drugbank.DB00328	topology_only	0.7522477522477522	1.0
drugbank.DB01184	topology_only	0.2277722277722277	1.0
drugbank.DB00635	topology_only	0.8221778221778222	1.0
drugbank.DB01260	topology_only	1.0	1.0
drugbank.DB14754	topology_only	1.0	1.0
drugbank.DB00316	topology_only	0.9270729270729272	1.0
drugbank.DB08995	topology_only	0.4145854145854146	1.0
drugbank.DB04828	topology_only	1.0	1.0
drugbank.DB08844	topology_only	1.0	1.0
drugbank.DB01142	topology_only	1.0	1.0
drugbank.DB00928	topology_only	1.0	1.0
drugbank.DB12399	topology_only	1.0	1.0
drugbank.DB08846	topology_only	0.0449550449550449	1.0
drugbank.DB00716	topology_only	1.0	1.0
drugbank.DB14064	topology_only	1.0	1.0
drugbank.DB11094	topology_only	0.0009990009990009	0.9013169689413464
drugbank.DB00798	topology_only	1.0	1.0
drugbank.DB00898	topology_only	0.1878121878121878	1.0
drugbank.DB01124	topology_only	0.1738261738261738	1.0
drugbank.DB09019	topology_only	1.0	1.0
drugbank.DB00845	topology_only	1.0	1.0
drugbank.DB00806	topology_only	0.4495504495504495	1.0
drugbank.DB00092	topology_only	1.0	1.0
drugbank.DB01167	topology_only	1.0	1.0
drugbank.DB01223	topology_only	0.7642357642357642	1.0
drugbank.DB13166	topology_only	0.1428571428571428	1.0
drugbank.DB00863	topology_only	0.8771228771228772	1.0
drugbank.DB14512	topology_only	1.0	1.0
drugbank.DB01043	topology_only	0.3486513486513486	1.0
drugbank.DB06154	topology_only	1.0	1.0
drugbank.DB01327	topology_only	1.0	1.0
drugbank.DB00012	topology_only	1.0	1.0
drugbank.DB01225	topology_only	0.0009990009990009	0.9013169689413464
drugbank.DB00502	topology_only	0.0039960039960039	0.9998631888134668
drugbank.DB00368	topology_only	0.2247752247752247	1.0
drugbank.DB06343	topology_only	1.0	1.0
drugbank.DB00204	topology_only	0.0219780219780219	1.0
drugbank.DB00994	topology_only	0.5924075924075924	1.0
drugbank.DB01626	topology_only	1.0	1.0
drugbank.DB00371	topology_only	1.0	1.0
drugbank.DB11611	topology_only	1.0	1.0
drugbank.DB01235	topology_only	0.0069930069930069	0.9999997898620664
drugbank.DB12412	topology_only	1.0	1.0
drugbank.DB08626	topology_only	1.0	1.0
drugbank.DB00203	topology_only	1.0	1.0
drugbank.DB13064	topology_only	1.0	1.0
drugbank.DB00139	topology_only	1.0	1.0
drugbank.DB00197	topology_only	0.0059940059940059	0.9999981869149251
drugbank.DB00641	topology_only	0.3586413586413586	1.0
drugbank.DB01333	topology_only	1.0	1.0
drugbank.DB01199	topology_only	0.2747252747252747	1.0
drugbank.DB00887	topology_only	0.1568431568431568	1.0
drugbank.DB01592	topology_only	0.5114885114885115	1.0
drugbank.DB11591	topology_only	0.0349650349650349	1.0
drugbank.DB08841	topology_only	1.0	1.0
drugbank.DB00961	topology_only	1.0	1.0
drugbank.DB00983	topology_only	1.0	1.0
drugbank.DB00163	topology_only	0.922077922077922	1.0
drugbank.DB00224	topology_only	1.0	1.0
drugbank.DB00718	topology_only	1.0	1.0
drugbank.DB06147	topology_only	1.0	1.0
drugbank.DB00997	topology_only	0.0049950049950049	0.999984296320389
drugbank.DB01058	topology_only	1.0	1.0
drugbank.DB00989	topology_only	0.0959040959040959	1.0
drugbank.DB00261	topology_only	1.0	1.0
drugbank.DB00949	topology_only	0.2197802197802197	1.0
drugbank.DB00192	topology_only	0.0489510489510489	1.0
drugbank.DB00951	topology_only	0.5144855144855145	1.0
drugbank.DB01307	topology_only	1.0	1.0
drugbank.DB04574	topology_only	1.0	1.0
drugbank.DB01406	topology_only	0.981018981018981	1.0
drugbank.DB06691	topology_only	0.7192807192807192	1.0
drugbank.DB02342	topology_only	1.0	1.0
drugbank.DB01233	topology_only	0.1578421578421578	1.0
